time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 06:58:16.269,0.0,screenChange,,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,1.0,,,,,,
2022-11-28 06:58:17.707,1.0,screenChange,1.438,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,2.0,,,,,,
2022-11-28 06:58:18.787,2.0,screenChange,1.079,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,3.0,,,,,,
2022-11-28 06:58:19.633,3.0,screenChange,0.846,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,4.0,,,,,,
2022-11-28 06:58:24.615,4.0,screenChange,4.982,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,5.0,,,,,,
2022-11-28 06:58:24.618,,,,ps,3dc078a3-3ff8-4573-8f00-012e0af26351,,,4.0,5,0,6,000000010000000000000010000000
2022-11-28 06:58:34.911,5.0,screenChange,10.295,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,4.0,,,,,,
2022-11-28 06:58:55.665,4.0,screenChange,31.049,Problem Solving,3dc078a3-3ff8-4573-8f00-012e0af26351,5.0,,,,,,
2022-11-28 06:58:55.667,,,,ps,3dc078a3-3ff8-4573-8f00-012e0af26351,,,4.0,5,0,6,111000100000111000101000111000
2022-11-28 06:59:50.165,,,,ps,3dc078a3-3ff8-4573-8f00-012e0af26351,,Nice,5.0,,,,
