time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-27 21:36:09.097,0.0,screenChange,0.98,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,1.0,,,,,,
2022-11-27 21:36:09.225,1.0,screenChange,0.126,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,2.0,,,,,,
2022-11-27 21:36:09.346,2.0,screenChange,0.12,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,3.0,,,,,,
2022-11-27 21:36:09.459,3.0,screenChange,0.113,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,4.0,,,,,,
2022-11-27 21:36:09.581,4.0,screenChange,0.121,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,5.0,,,,,,
2022-11-27 21:36:09.864,5.0,screenChange,0.283,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,6.0,,,,,,
2022-11-27 21:36:09.978,6.0,screenChange,0.113,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,7.0,,,,,,
2022-11-27 21:36:10.049,7.0,screenChange,0.071,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,8.0,,,,,,
2022-11-27 21:36:10.099,8.0,screenChange,0.05,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,9.0,,,,,,
2022-11-27 21:36:10.177,9.0,screenChange,0.078,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,10.0,,,,,,
2022-11-27 21:36:10.219,10.0,screenChange,0.042,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,11.0,,,,,,
2022-11-27 21:36:10.313,11.0,screenChange,0.093,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,12.0,,,,,,
2022-11-27 21:36:10.461,12.0,screenChange,0.148,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,13.0,,,,,,
2022-11-27 21:36:10.490,13.0,screenChange,0.028,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,14.0,,,,,,
2022-11-27 21:36:10.568,14.0,screenChange,0.078,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,15.0,,,,,,
2022-11-27 21:36:10.747,15.0,screenChange,0.178,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,16.0,,,,,,
2022-11-27 21:36:10.764,16.0,screenChange,0.017,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,17.0,,,,,,
2022-11-27 21:36:10.839,17.0,screenChange,0.075,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,18.0,,,,,,
2022-11-27 21:36:10.909,18.0,screenChange,0.07,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,19.0,,,,,,
2022-11-27 21:36:10.967,19.0,screenChange,0.057,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,20.0,,,,,,
2022-11-27 21:36:11.038,20.0,screenChange,0.071,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,21.0,,,,,,
2022-11-27 21:36:11.117,21.0,screenChange,0.078,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,22.0,,,,,,
2022-11-27 21:36:11.301,22.0,screenChange,0.184,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,23.0,,,,,,
2022-11-27 21:36:11.344,23.0,screenChange,0.042,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,24.0,,,,,,
2022-11-27 21:36:11.408,24.0,screenChange,0.063,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,25.0,,,,,,
2022-11-27 21:36:11.473,25.0,screenChange,0.064,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,26.0,,,,,,
2022-11-27 21:36:11.551,26.0,screenChange,0.078,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,27.0,,,,,,
2022-11-27 21:36:11.601,27.0,screenChange,0.049,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,28.0,,,,,,
2022-11-27 21:36:11.686,28.0,screenChange,0.085,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,29.0,,,,,,
2022-11-27 21:36:11.749,29.0,screenChange,0.063,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,30.0,,,,,,
2022-11-27 21:36:11.828,30.0,screenChange,0.078,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,31.0,,,,,,
2022-11-27 21:36:12.055,31.0,screenChange,0.226,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,32.0,,,,,,
2022-11-27 21:36:12.127,32.0,screenChange,0.071,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,33.0,,,,,,
2022-11-27 21:36:12.191,33.0,screenChange,0.064,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,34.0,,,,,,
2022-11-27 21:36:12.442,34.0,screenChange,0.251,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,35.0,,,,,,
2022-11-27 21:36:12.760,35.0,screenChange,0.318,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,36.0,,,,,,
2022-11-27 21:36:12.881,36.0,screenChange,0.12,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,37.0,,,,,,
2022-11-27 21:36:13.016,37.0,screenChange,0.134,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,38.0,,,,,,
2022-11-27 21:36:13.145,38.0,screenChange,0.128,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,39.0,,,,,,
2022-11-27 21:36:13.366,39.0,screenChange,0.221,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,40.0,,,,,,
2022-11-27 21:36:13.706,40.0,screenChange,0.34,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,41.0,,,,,,
2022-11-27 21:36:13.834,41.0,screenChange,0.127,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,42.0,,,,,,
2022-11-27 21:36:14.054,42.0,screenChange,0.219,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,43.0,,,,,,
2022-11-27 21:36:14.608,43.0,screenChange,0.554,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,44.0,,,,,,
2022-11-27 21:36:15.202,44.0,screenChange,0.593,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,45.0,,,,,,
2022-11-27 21:36:15.747,45.0,screenChange,0.544,Instruction,ac1f389b-3632-4303-8d87-eb44e43e187c,46.0,,,,,,
2022-11-27 21:36:16.644,0.0,screenChange,,Problem Solving,ac1f389b-3632-4303-8d87-eb44e43e187c,1.0,,,,,,
2022-11-27 21:36:17.021,1.0,screenChange,0.376,Problem Solving,ac1f389b-3632-4303-8d87-eb44e43e187c,2.0,,,,,,
2022-11-27 21:36:17.434,2.0,screenChange,0.412,Problem Solving,ac1f389b-3632-4303-8d87-eb44e43e187c,3.0,,,,,,
2022-11-27 21:36:17.775,3.0,screenChange,0.341,Problem Solving,ac1f389b-3632-4303-8d87-eb44e43e187c,4.0,,,,,,
2022-11-27 21:36:19.053,4.0,screenChange,1.277,Problem Solving,ac1f389b-3632-4303-8d87-eb44e43e187c,5.0,,,,,,
2022-11-27 21:36:19.054,,,,ps,ac1f389b-3632-4303-8d87-eb44e43e187c,,,4.0,5,0,6,000000000000000010000000000000
2022-11-27 21:36:21.622,,,,ps,ac1f389b-3632-4303-8d87-eb44e43e187c,,Miau,5.0,,,,
