time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:34:30.951,0.0,screenChange,62.195,Instruction,5628a823-d370-411f-8505-695540b77248,1.0,,,,,,
2022-11-28 07:34:40.333,1.0,screenChange,9.379,Instruction,5628a823-d370-411f-8505-695540b77248,2.0,,,,,,
2022-11-28 07:34:46.716,2.0,screenChange,6.382,Instruction,5628a823-d370-411f-8505-695540b77248,3.0,,,,,,
2022-11-28 07:34:50.816,3.0,screenChange,4.098,Instruction,5628a823-d370-411f-8505-695540b77248,4.0,,,,,,
2022-11-28 07:34:53.533,4.0,screenChange,2.716,Instruction,5628a823-d370-411f-8505-695540b77248,5.0,,,,,,
2022-11-28 07:35:07.683,5.0,screenChange,14.149,Instruction,5628a823-d370-411f-8505-695540b77248,6.0,,,,,,
2022-11-28 07:35:13.233,6.0,screenChange,5.548,Instruction,5628a823-d370-411f-8505-695540b77248,7.0,,,,,,
2022-11-28 07:35:21.816,7.0,screenChange,8.582,Instruction,5628a823-d370-411f-8505-695540b77248,8.0,,,,,,
2022-11-28 07:35:28.983,8.0,screenChange,7.166,Instruction,5628a823-d370-411f-8505-695540b77248,9.0,,,,,,
2022-11-28 07:35:35.982,9.0,screenChange,6.998,Instruction,5628a823-d370-411f-8505-695540b77248,10.0,,,,,,
2022-11-28 07:35:38.267,10.0,screenChange,2.284,Instruction,5628a823-d370-411f-8505-695540b77248,11.0,,,,,,
2022-11-28 07:35:40.333,11.0,screenChange,2.065,Instruction,5628a823-d370-411f-8505-695540b77248,12.0,,,,,,
2022-11-28 07:35:47.699,12.0,screenChange,7.365,Instruction,5628a823-d370-411f-8505-695540b77248,13.0,,,,,,
2022-11-28 07:35:58.017,13.0,screenChange,10.318,Instruction,5628a823-d370-411f-8505-695540b77248,14.0,,,,,,
2022-11-28 07:36:05.532,14.0,screenChange,7.514,Instruction,5628a823-d370-411f-8505-695540b77248,15.0,,,,,,
2022-11-28 07:36:09.249,15.0,screenChange,3.716,Instruction,5628a823-d370-411f-8505-695540b77248,16.0,,,,,,
2022-11-28 07:36:16.399,16.0,screenChange,7.149,Instruction,5628a823-d370-411f-8505-695540b77248,17.0,,,,,,
2022-11-28 07:36:23.815,17.0,screenChange,7.415,Instruction,5628a823-d370-411f-8505-695540b77248,18.0,,,,,,
2022-11-28 07:36:38.199,18.0,screenChange,14.383,Instruction,5628a823-d370-411f-8505-695540b77248,19.0,,,,,,
2022-11-28 07:36:40.448,19.0,screenChange,2.247,Instruction,5628a823-d370-411f-8505-695540b77248,20.0,,,,,,
2022-11-28 07:36:53.465,20.0,screenChange,13.015,Instruction,5628a823-d370-411f-8505-695540b77248,21.0,,,,,,
2022-11-28 07:36:58.648,21.0,screenChange,5.182,Instruction,5628a823-d370-411f-8505-695540b77248,22.0,,,,,,
2022-11-28 07:37:04.331,22.0,screenChange,5.682,Instruction,5628a823-d370-411f-8505-695540b77248,23.0,,,,,,
2022-11-28 07:37:18.915,23.0,screenChange,14.583,Instruction,5628a823-d370-411f-8505-695540b77248,24.0,,,,,,
2022-11-28 07:37:23.548,24.0,screenChange,4.633,Instruction,5628a823-d370-411f-8505-695540b77248,25.0,,,,,,
2022-11-28 07:37:26.865,25.0,screenChange,3.316,Instruction,5628a823-d370-411f-8505-695540b77248,26.0,,,,,,
2022-11-28 07:37:28.014,26.0,screenChange,1.148,Instruction,5628a823-d370-411f-8505-695540b77248,27.0,,,,,,
2022-11-28 07:37:32.765,27.0,screenChange,4.75,Instruction,5628a823-d370-411f-8505-695540b77248,28.0,,,,,,
2022-11-28 07:37:34.298,28.0,screenChange,1.533,Instruction,5628a823-d370-411f-8505-695540b77248,29.0,,,,,,
2022-11-28 07:37:53.864,29.0,screenChange,19.565,Instruction,5628a823-d370-411f-8505-695540b77248,30.0,,,,,,
2022-11-28 07:37:55.163,30.0,screenChange,1.298,Instruction,5628a823-d370-411f-8505-695540b77248,31.0,,,,,,
2022-11-28 07:37:56.981,31.0,screenChange,1.817,Instruction,5628a823-d370-411f-8505-695540b77248,32.0,,,,,,
2022-11-28 07:37:58.131,32.0,screenChange,1.149,Instruction,5628a823-d370-411f-8505-695540b77248,33.0,,,,,,
2022-11-28 07:38:00.247,33.0,screenChange,2.115,Instruction,5628a823-d370-411f-8505-695540b77248,34.0,,,,,,
2022-11-28 07:38:06.847,34.0,screenChange,6.599,Instruction,5628a823-d370-411f-8505-695540b77248,35.0,,,,,,
2022-11-28 07:38:10.897,35.0,screenChange,4.049,Instruction,5628a823-d370-411f-8505-695540b77248,36.0,,,,,,
2022-11-28 07:38:11.713,36.0,screenChange,0.815,Instruction,5628a823-d370-411f-8505-695540b77248,37.0,,,,,,
2022-11-28 07:38:14.297,37.0,screenChange,2.583,Instruction,5628a823-d370-411f-8505-695540b77248,38.0,,,,,,
2022-11-28 07:38:15.747,38.0,screenChange,1.449,Instruction,5628a823-d370-411f-8505-695540b77248,39.0,,,,,,
2022-11-28 07:38:20.180,39.0,screenChange,4.433,Instruction,5628a823-d370-411f-8505-695540b77248,40.0,,,,,,
2022-11-28 07:38:29.666,40.0,screenChange,9.485,Instruction,5628a823-d370-411f-8505-695540b77248,41.0,,,,,,
2022-11-28 07:38:35.847,41.0,screenChange,6.179,Instruction,5628a823-d370-411f-8505-695540b77248,42.0,,,,,,
2022-11-28 07:38:39.581,42.0,screenChange,3.733,Instruction,5628a823-d370-411f-8505-695540b77248,43.0,,,,,,
2022-11-28 07:38:54.232,43.0,screenChange,14.65,Instruction,5628a823-d370-411f-8505-695540b77248,44.0,,,,,,
2022-11-28 07:38:58.530,44.0,screenChange,4.297,Instruction,5628a823-d370-411f-8505-695540b77248,45.0,,,,,,
2022-11-28 07:39:02.815,45.0,screenChange,4.284,Instruction,5628a823-d370-411f-8505-695540b77248,46.0,,,,,,
2022-11-28 07:39:09.780,0.0,screenChange,,Problem Solving,5628a823-d370-411f-8505-695540b77248,1.0,,,,,,
2022-11-28 07:39:15.931,1.0,screenChange,6.149,Problem Solving,5628a823-d370-411f-8505-695540b77248,2.0,,,,,,
