time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:34:51.602,0.0,screenChange,,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,1.0,,,,,,
2022-11-28 07:35:07.237,1.0,screenChange,15.634,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,2.0,,,,,,
2022-11-28 07:35:25.604,2.0,screenChange,18.364,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,3.0,,,,,,
2022-11-28 07:35:27.719,3.0,screenChange,2.114,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,4.0,,,,,,
2022-11-28 07:35:43.487,4.0,screenChange,15.767,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,3.0,,,,,,
2022-11-28 07:35:51.018,3.0,screenChange,23.298,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,4.0,,,,,,
2022-11-28 07:36:35.802,4.0,screenChange,44.782,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,5.0,,,,,,
2022-11-28 07:36:35.804,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,4.0,5,0,6,000100001000001110001010001110
2022-11-28 07:38:27.186,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,"ich habe eine Zahl gemacht aus Glühbirnen
",5.0,,,,
2022-11-28 07:38:28.686,5.0,screenChange,112.883,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,6.0,,,,,,
2022-11-28 07:39:15.903,6.0,screenChange,47.216,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,7.0,,,,,,
2022-11-28 07:39:15.904,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,6.0,5,0,6,101100101100000000000000000000
2022-11-28 07:40:16.920,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,nein ich habe einfach für 2 hatte ich 2 Glühbirnen eingeschaltet,7.0,,,,
2022-11-28 07:40:18.151,7.0,screenChange,62.247,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,8.0,,,,,,
2022-11-28 07:43:45.054,8.0,screenChange,206.901,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,9.0,,,,,,
2022-11-28 07:43:45.056,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,8.0,5,0,6,101110111111111111000000000000
2022-11-28 07:43:47.385,9.0,screenChange,2.33,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,10.0,,,,,,
2022-11-28 07:44:48.737,10.0,screenChange,61.351,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,11.0,,,,,,
2022-11-28 07:44:48.738,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,10.0,1,3,9,000000000
2022-11-28 07:44:48.738,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,10.0,1,1,9,100000000
2022-11-28 07:44:48.738,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,10.0,1,4,9,001000000
2022-11-28 07:44:48.738,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,10.0,1,0,9,000100000
2022-11-28 07:44:48.738,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,10.0,1,2,9,000000010
2022-11-28 07:46:25.768,11.0,screenChange,97.031,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,12.0,,,,,,
2022-11-28 07:46:25.771,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,11.0,1,0,9,001000100
2022-11-28 07:46:25.772,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,11.0,1,0,9,001010011
2022-11-28 07:46:25.772,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,11.0,1,0,9,011100100
2022-11-28 07:46:25.772,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,11.0,1,0,9,101011111
2022-11-28 07:46:25.773,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,11.0,1,0,9,001011011
2022-11-28 07:48:27.951,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,weil ich habe nicht so deutlich es gemacht,12.0,,,,
2022-11-28 07:48:28.799,12.0,screenChange,123.028,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,13.0,,,,,,
2022-11-28 07:49:13.883,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,nein glaub eher mit mehr Glühbirnen,13.0,,,,
2022-11-28 07:49:17.433,13.0,screenChange,48.632,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,14.0,,,,,,
2022-11-28 07:51:42.065,14.0,screenChange,144.63,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,15.0,,,,,,
2022-11-28 07:51:42.069,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,14.0,1,1,4,1101
2022-11-28 07:51:42.069,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,14.0,1,0,4,0111
2022-11-28 07:51:42.070,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,14.0,1,4,4,0111
2022-11-28 07:51:42.070,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,14.0,1,2,4,0111
2022-11-28 07:51:42.070,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,14.0,1,3,4,0101
2022-11-28 07:54:18.550,15.0,screenChange,156.482,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,16.0,,,,,,
2022-11-28 07:54:18.553,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,15.0,1,0,4,0010
2022-11-28 07:54:18.554,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,15.0,1,1,4,0110
2022-11-28 07:54:18.554,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,15.0,1,2,4,0100
2022-11-28 07:54:18.554,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,15.0,1,4,4,0100
2022-11-28 07:54:18.554,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,,15.0,1,3,4,0010
2022-11-28 07:54:39.597,,,,ps,c4db5c54-5657-4ed4-9280-7028f7f029a4,,glaub 10,16.0,,,,
2022-11-28 07:54:41.764,16.0,screenChange,23.212,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,17.0,,,,,,
2022-11-28 07:54:52.084,17.0,screenChange,10.319,Problem Solving,c4db5c54-5657-4ed4-9280-7028f7f029a4,18.0,,,,,,
2022-11-28 07:54:55.514,0.0,screenChange,3.427,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,1.0,,,,,,
2022-11-28 07:55:05.014,1.0,screenChange,9.497,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,2.0,,,,,,
2022-11-28 07:55:08.914,2.0,screenChange,3.899,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,3.0,,,,,,
2022-11-28 07:55:10.280,3.0,screenChange,1.363,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,4.0,,,,,,
2022-11-28 07:55:11.997,4.0,screenChange,1.716,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,5.0,,,,,,
2022-11-28 07:55:15.030,5.0,screenChange,3.032,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,6.0,,,,,,
2022-11-28 07:55:18.547,6.0,screenChange,3.516,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,7.0,,,,,,
2022-11-28 07:55:20.747,7.0,screenChange,2.199,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,8.0,,,,,,
2022-11-28 07:55:22.480,8.0,screenChange,1.732,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,9.0,,,,,,
2022-11-28 07:55:29.463,9.0,screenChange,6.982,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,10.0,,,,,,
2022-11-28 07:55:31.630,10.0,screenChange,2.166,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,11.0,,,,,,
2022-11-28 07:55:35.214,11.0,screenChange,3.581,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,12.0,,,,,,
2022-11-28 07:55:37.380,12.0,screenChange,2.166,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,13.0,,,,,,
2022-11-28 07:55:40.163,13.0,screenChange,2.779,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,14.0,,,,,,
2022-11-28 07:55:43.183,14.0,screenChange,3.018,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,15.0,,,,,,
2022-11-28 07:55:44.413,15.0,screenChange,1.229,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,16.0,,,,,,
2022-11-28 07:55:45.397,16.0,screenChange,0.983,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,17.0,,,,,,
2022-11-28 07:55:45.896,17.0,screenChange,0.498,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,18.0,,,,,,
2022-11-28 07:55:46.395,18.0,screenChange,0.499,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,19.0,,,,,,
2022-11-28 07:55:47.346,19.0,screenChange,0.95,Instruction,c4db5c54-5657-4ed4-9280-7028f7f029a4,20.0,,,,,,
