time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:33:30.437,0.0,screenChange,19.261,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,1.0,,,,,,
2022-11-28 07:33:35.288,1.0,screenChange,4.849,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,2.0,,,,,,
2022-11-28 07:33:39.654,2.0,screenChange,4.365,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,3.0,,,,,,
2022-11-28 07:33:43.504,3.0,screenChange,3.848,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,4.0,,,,,,
2022-11-28 07:33:47.237,4.0,screenChange,3.732,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,5.0,,,,,,
2022-11-28 07:33:51.637,5.0,screenChange,4.398,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,6.0,,,,,,
2022-11-28 07:33:58.820,6.0,screenChange,7.182,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,7.0,,,,,,
2022-11-28 07:34:03.136,7.0,screenChange,4.315,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,8.0,,,,,,
2022-11-28 07:34:19.421,8.0,screenChange,16.284,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,9.0,,,,,,
2022-11-28 07:34:26.786,9.0,screenChange,7.364,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,10.0,,,,,,
2022-11-28 07:34:28.970,10.0,screenChange,2.183,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,11.0,,,,,,
2022-11-28 07:34:32.553,11.0,screenChange,3.582,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,12.0,,,,,,
2022-11-28 07:34:33.720,12.0,screenChange,1.166,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,13.0,,,,,,
2022-11-28 07:34:44.286,13.0,screenChange,10.565,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,14.0,,,,,,
2022-11-28 07:34:45.903,14.0,screenChange,1.615,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,15.0,,,,,,
2022-11-28 07:34:49.768,15.0,screenChange,3.864,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,16.0,,,,,,
2022-11-28 07:34:52.085,16.0,screenChange,2.316,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,17.0,,,,,,
2022-11-28 07:34:53.602,17.0,screenChange,1.516,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,18.0,,,,,,
2022-11-28 07:34:54.519,18.0,screenChange,0.916,Instruction,365cbf6d-2340-4c5f-9c28-dc1f5b5d6cf3,19.0,,,,,,
