time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:34:15.777,0.0,screenChange,59.162,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,1.0,,,,,,
2022-11-28 07:34:30.077,1.0,screenChange,14.297,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,2.0,,,,,,
2022-11-28 07:34:37.759,2.0,screenChange,7.68,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,3.0,,,,,,
2022-11-28 07:34:43.008,3.0,screenChange,5.248,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,4.0,,,,,,
2022-11-28 07:34:46.309,4.0,screenChange,3.299,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,5.0,,,,,,
2022-11-28 07:35:09.425,5.0,screenChange,23.114,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,6.0,,,,,,
2022-11-28 07:35:25.659,6.0,screenChange,16.232,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,7.0,,,,,,
2022-11-28 07:35:41.858,7.0,screenChange,16.198,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,8.0,,,,,,
2022-11-28 07:35:49.508,8.0,screenChange,7.648,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,9.0,,,,,,
2022-11-28 07:36:08.607,9.0,screenChange,19.098,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,10.0,,,,,,
2022-11-28 07:36:11.841,10.0,screenChange,3.233,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,11.0,,,,,,
2022-11-28 07:36:14.191,11.0,screenChange,2.349,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,12.0,,,,,,
2022-11-28 07:36:25.176,12.0,screenChange,10.983,Instruction,ac411dc7-0f52-4f13-bf76-4ecc9fa65b8f,13.0,,,,,,
