time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:38:10.825,0.0,screenChange,,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,1.0,,,,,,
2022-11-28 07:38:12.587,1.0,screenChange,1.76,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,2.0,,,,,,
2022-11-28 07:38:13.509,2.0,screenChange,0.921,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,3.0,,,,,,
2022-11-28 07:38:15.128,3.0,screenChange,1.618,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,4.0,,,,,,
2022-11-28 07:38:22.115,4.0,screenChange,6.986,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,5.0,,,,,,
2022-11-28 07:38:22.117,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,4.0,5,0,6,111111100000000000000000000000
2022-11-28 07:38:28.963,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,.,5.0,,,,
2022-11-28 07:38:29.965,5.0,screenChange,7.849,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,6.0,,,,,,
2022-11-28 07:39:42.589,6.0,screenChange,72.623,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,7.0,,,,,,
2022-11-28 07:39:42.589,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,6.0,5,0,6,111111001101111111001001111111
2022-11-28 07:39:49.291,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,2022 schriebe,7.0,,,,
2022-11-28 07:39:50.310,7.0,screenChange,7.721,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,8.0,,,,,,
2022-11-28 07:40:31.098,8.0,screenChange,40.788,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,9.0,,,,,,
2022-11-28 07:40:31.099,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,8.0,5,0,6,010000000000000000001000010000
2022-11-28 07:40:35.226,9.0,screenChange,4.128,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,10.0,,,,,,
2022-11-28 07:40:45.319,10.0,screenChange,10.092,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,11.0,,,,,,
2022-11-28 07:40:45.320,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,10.0,1,1,9,100000000
2022-11-28 07:40:45.320,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,10.0,1,0,9,111100000
2022-11-28 07:40:45.321,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,10.0,1,3,9,000000000
2022-11-28 07:40:45.321,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,10.0,1,2,9,111111110
2022-11-28 07:40:45.322,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,10.0,1,4,9,111000000
2022-11-28 07:42:13.322,11.0,screenChange,88.003,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,12.0,,,,,,
2022-11-28 07:42:13.323,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,11.0,1,0,9,000000001
2022-11-28 07:42:13.324,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,11.0,1,0,9,000001001
2022-11-28 07:42:13.324,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,11.0,1,0,9,000000101
2022-11-28 07:42:13.324,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,11.0,1,0,9,000000011
2022-11-28 07:42:13.324,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,11.0,1,0,9,000001110
2022-11-28 07:42:17.640,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,Nein,12.0,,,,
2022-11-28 07:42:18.467,12.0,screenChange,5.144,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,13.0,,,,,,
2022-11-28 07:42:22.008,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,Ja fix,13.0,,,,
2022-11-28 07:42:22.639,13.0,screenChange,4.171,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,14.0,,,,,,
2022-11-28 07:42:46.471,14.0,screenChange,23.832,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,15.0,,,,,,
2022-11-28 07:42:46.472,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,14.0,1,0,4,1001
2022-11-28 07:42:46.473,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,14.0,1,1,4,0001
2022-11-28 07:42:46.474,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,14.0,1,4,4,1101
2022-11-28 07:42:46.474,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,14.0,1,2,4,0111
2022-11-28 07:42:46.474,,,,ps,f71209ad-08ee-473b-92a4-b4edfe6c2d02,,,14.0,1,3,4,0101
2022-11-28 07:42:51.727,15.0,screenChange,5.256,Problem Solving,f71209ad-08ee-473b-92a4-b4edfe6c2d02,16.0,,,,,,
