time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:33:39.860,0.0,screenChange,24.582,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,1.0,,,,,,
2022-11-28 07:35:41.000,1.0,screenChange,121.137,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,2.0,,,,,,
2022-11-28 07:35:56.866,2.0,screenChange,15.865,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,3.0,,,,,,
2022-11-28 07:35:58.632,3.0,screenChange,1.765,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,4.0,,,,,,
2022-11-28 07:36:00.748,4.0,screenChange,2.115,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,5.0,,,,,,
2022-11-28 07:36:08.184,5.0,screenChange,7.434,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,6.0,,,,,,
2022-11-28 07:36:13.566,6.0,screenChange,5.381,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,7.0,,,,,,
2022-11-28 07:36:18.882,7.0,screenChange,5.314,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,8.0,,,,,,
2022-11-28 07:36:21.884,8.0,screenChange,3.0,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,9.0,,,,,,
2022-11-28 07:36:35.334,9.0,screenChange,13.449,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,10.0,,,,,,
2022-11-28 07:36:37.085,10.0,screenChange,1.75,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,11.0,,,,,,
2022-11-28 07:36:38.884,11.0,screenChange,1.798,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,12.0,,,,,,
2022-11-28 07:36:42.968,12.0,screenChange,4.083,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,13.0,,,,,,
2022-11-28 07:36:46.650,13.0,screenChange,3.682,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,14.0,,,,,,
2022-11-28 07:36:51.584,14.0,screenChange,4.932,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,15.0,,,,,,
2022-11-28 07:36:53.567,15.0,screenChange,1.982,Instruction,a511ac42-e6e0-4fba-b067-19dbec25de9a,16.0,,,,,,
