time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:33:40.785,0.0,screenChange,,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,1.0,,,,,,
2022-11-28 07:33:44.266,1.0,screenChange,3.48,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,2.0,,,,,,
2022-11-28 07:33:46.550,2.0,screenChange,2.282,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,1.0,,,,,,
2022-11-28 07:33:52.334,1.0,screenChange,8.066,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,0.0,,,,,,
2022-11-28 07:33:54.651,0.0,screenChange,10.383,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,1.0,,,,,,
2022-11-28 07:34:18.818,1.0,screenChange,24.165,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,2.0,,,,,,
2022-11-28 07:34:20.651,2.0,screenChange,1.831,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,3.0,,,,,,
2022-11-28 07:34:22.483,3.0,screenChange,1.831,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,4.0,,,,,,
2022-11-28 07:35:31.868,4.0,screenChange,69.383,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,5.0,,,,,,
2022-11-28 07:35:31.870,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,4.0,5,0,6,001110001000001110001010001110
2022-11-28 07:35:39.051,5.0,screenChange,7.182,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,4.0,,,,,,
2022-11-28 07:35:50.286,4.0,screenChange,18.417,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,5.0,,,,,,
2022-11-28 07:35:50.287,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,4.0,5,0,6,001110001000001110001010001110
2022-11-28 07:36:38.003,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,"Nicht nach gedacht einfach schnall gemacht
",5.0,,,,
2022-11-28 07:36:39.652,5.0,screenChange,49.365,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,6.0,,,,,,
2022-11-28 07:37:23.771,6.0,screenChange,44.118,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,7.0,,,,,,
2022-11-28 07:37:23.774,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,6.0,5,0,6,111111010010100100111111000000
2022-11-28 07:38:02.569,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,nein nicht unbedingt eig schon gleich einfach ein andere Zahl,7.0,,,,
2022-11-28 07:38:03.969,7.0,screenChange,40.196,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,8.0,,,,,,
2022-11-28 07:40:44.155,8.0,screenChange,160.185,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,9.0,,,,,,
2022-11-28 07:40:44.157,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,8.0,5,0,6,111000101110111110101110111000
2022-11-28 07:40:50.421,9.0,screenChange,6.264,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,10.0,,,,,,
2022-11-28 07:41:09.639,10.0,screenChange,19.217,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,11.0,,,,,,
2022-11-28 07:41:09.640,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,10.0,1,0,9,111100000
2022-11-28 07:41:09.641,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,10.0,1,3,9,000000000
2022-11-28 07:41:09.641,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,10.0,1,2,9,111111110
2022-11-28 07:41:09.641,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,10.0,1,1,9,100000000
2022-11-28 07:41:09.641,,,,ps,663c3331-bd44-440d-a569-0a0787b72894,,,10.0,1,4,9,111000000
2022-11-28 07:42:05.106,11.0,screenChange,55.466,Problem Solving,663c3331-bd44-440d-a569-0a0787b72894,12.0,,,,,,
