time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:33:31.010,0.0,screenChange,2.345,Instruction,787e061e-220c-469e-9701-160975ede767,1.0,,,,,,
2022-11-28 07:33:54.077,1.0,screenChange,23.065,Instruction,787e061e-220c-469e-9701-160975ede767,2.0,,,,,,
2022-11-28 07:34:00.459,2.0,screenChange,6.38,Instruction,787e061e-220c-469e-9701-160975ede767,3.0,,,,,,
2022-11-28 07:34:02.058,3.0,screenChange,1.598,Instruction,787e061e-220c-469e-9701-160975ede767,4.0,,,,,,
2022-11-28 07:34:04.275,4.0,screenChange,2.215,Instruction,787e061e-220c-469e-9701-160975ede767,5.0,,,,,,
2022-11-28 07:34:23.608,5.0,screenChange,19.331,Instruction,787e061e-220c-469e-9701-160975ede767,6.0,,,,,,
2022-11-28 07:34:28.041,6.0,screenChange,4.432,Instruction,787e061e-220c-469e-9701-160975ede767,7.0,,,,,,
2022-11-28 07:34:33.941,7.0,screenChange,5.899,Instruction,787e061e-220c-469e-9701-160975ede767,8.0,,,,,,
2022-11-28 07:34:44.375,8.0,screenChange,10.433,Instruction,787e061e-220c-469e-9701-160975ede767,9.0,,,,,,
2022-11-28 07:34:50.892,9.0,screenChange,6.516,Instruction,787e061e-220c-469e-9701-160975ede767,10.0,,,,,,
2022-11-28 07:34:53.523,10.0,screenChange,2.629,Instruction,787e061e-220c-469e-9701-160975ede767,11.0,,,,,,
2022-11-28 07:34:56.975,11.0,screenChange,3.451,Instruction,787e061e-220c-469e-9701-160975ede767,12.0,,,,,,
2022-11-28 07:35:01.371,12.0,screenChange,4.395,Instruction,787e061e-220c-469e-9701-160975ede767,13.0,,,,,,
2022-11-28 07:35:08.140,13.0,screenChange,6.768,Instruction,787e061e-220c-469e-9701-160975ede767,14.0,,,,,,
2022-11-28 07:35:10.890,14.0,screenChange,2.748,Instruction,787e061e-220c-469e-9701-160975ede767,15.0,,,,,,
2022-11-28 07:35:13.590,15.0,screenChange,2.699,Instruction,787e061e-220c-469e-9701-160975ede767,16.0,,,,,,
2022-11-28 07:35:16.974,16.0,screenChange,3.383,Instruction,787e061e-220c-469e-9701-160975ede767,17.0,,,,,,
2022-11-28 07:35:33.358,17.0,screenChange,16.383,Instruction,787e061e-220c-469e-9701-160975ede767,18.0,,,,,,
2022-11-28 07:35:39.607,18.0,screenChange,6.248,Instruction,787e061e-220c-469e-9701-160975ede767,19.0,,,,,,
2022-11-28 07:35:42.324,19.0,screenChange,2.716,Instruction,787e061e-220c-469e-9701-160975ede767,20.0,,,,,,
2022-11-28 07:35:59.691,20.0,screenChange,17.366,Instruction,787e061e-220c-469e-9701-160975ede767,21.0,,,,,,
2022-11-28 07:36:03.023,21.0,screenChange,3.331,Instruction,787e061e-220c-469e-9701-160975ede767,22.0,,,,,,
2022-11-28 07:36:06.573,22.0,screenChange,3.548,Instruction,787e061e-220c-469e-9701-160975ede767,23.0,,,,,,
2022-11-28 07:36:16.323,23.0,screenChange,9.749,Instruction,787e061e-220c-469e-9701-160975ede767,24.0,,,,,,
2022-11-28 07:36:26.005,24.0,screenChange,9.681,Instruction,787e061e-220c-469e-9701-160975ede767,25.0,,,,,,
2022-11-28 07:36:27.672,25.0,screenChange,1.666,Instruction,787e061e-220c-469e-9701-160975ede767,26.0,,,,,,
2022-11-28 07:36:28.740,26.0,screenChange,1.067,Instruction,787e061e-220c-469e-9701-160975ede767,27.0,,,,,,
2022-11-28 07:36:32.489,27.0,screenChange,3.748,Instruction,787e061e-220c-469e-9701-160975ede767,28.0,,,,,,
2022-11-28 07:36:34.022,28.0,screenChange,1.531,Instruction,787e061e-220c-469e-9701-160975ede767,29.0,,,,,,
2022-11-28 07:36:37.423,29.0,screenChange,3.4,Instruction,787e061e-220c-469e-9701-160975ede767,30.0,,,,,,
2022-11-28 07:36:38.457,30.0,screenChange,1.034,Instruction,787e061e-220c-469e-9701-160975ede767,31.0,,,,,,
2022-11-28 07:36:40.673,31.0,screenChange,2.215,Instruction,787e061e-220c-469e-9701-160975ede767,32.0,,,,,,
2022-11-28 07:36:42.139,32.0,screenChange,1.465,Instruction,787e061e-220c-469e-9701-160975ede767,33.0,,,,,,
2022-11-28 07:36:44.389,33.0,screenChange,2.248,Instruction,787e061e-220c-469e-9701-160975ede767,34.0,,,,,,
2022-11-28 07:36:48.140,34.0,screenChange,3.75,Instruction,787e061e-220c-469e-9701-160975ede767,35.0,,,,,,
2022-11-28 07:36:51.989,35.0,screenChange,3.847,Instruction,787e061e-220c-469e-9701-160975ede767,36.0,,,,,,
2022-11-28 07:36:53.656,36.0,screenChange,1.666,Instruction,787e061e-220c-469e-9701-160975ede767,37.0,,,,,,
2022-11-28 07:36:59.256,37.0,screenChange,5.599,Instruction,787e061e-220c-469e-9701-160975ede767,38.0,,,,,,
2022-11-28 07:37:01.121,38.0,screenChange,1.864,Instruction,787e061e-220c-469e-9701-160975ede767,39.0,,,,,,
2022-11-28 07:37:04.389,39.0,screenChange,3.267,Instruction,787e061e-220c-469e-9701-160975ede767,40.0,,,,,,
2022-11-28 07:37:08.072,40.0,screenChange,3.683,Instruction,787e061e-220c-469e-9701-160975ede767,41.0,,,,,,
2022-11-28 07:37:12.472,41.0,screenChange,4.399,Instruction,787e061e-220c-469e-9701-160975ede767,42.0,,,,,,
2022-11-28 07:37:16.839,42.0,screenChange,4.366,Instruction,787e061e-220c-469e-9701-160975ede767,43.0,,,,,,
2022-11-28 07:37:19.739,43.0,screenChange,2.898,Instruction,787e061e-220c-469e-9701-160975ede767,44.0,,,,,,
2022-11-28 07:37:23.422,44.0,screenChange,3.682,Instruction,787e061e-220c-469e-9701-160975ede767,45.0,,,,,,
2022-11-28 07:37:35.040,45.0,screenChange,11.617,Instruction,787e061e-220c-469e-9701-160975ede767,46.0,,,,,,
2022-11-28 07:37:36.572,0.0,screenChange,,Problem Solving,787e061e-220c-469e-9701-160975ede767,1.0,,,,,,
2022-11-28 07:37:52.639,1.0,screenChange,16.064,Problem Solving,787e061e-220c-469e-9701-160975ede767,2.0,,,,,,
2022-11-28 07:37:57.088,2.0,screenChange,4.447,Problem Solving,787e061e-220c-469e-9701-160975ede767,3.0,,,,,,
2022-11-28 07:38:03.372,3.0,screenChange,6.282,Problem Solving,787e061e-220c-469e-9701-160975ede767,4.0,,,,,,
2022-11-28 07:38:25.603,4.0,screenChange,22.231,Problem Solving,787e061e-220c-469e-9701-160975ede767,5.0,,,,,,
2022-11-28 07:38:25.605,,,,ps,787e061e-220c-469e-9701-160975ede767,,,4.0,5,0,6,111111000000000000000000000000
2022-11-28 07:40:08.553,,,,ps,787e061e-220c-469e-9701-160975ede767,,"Ich habe mit der Anzahl Glühbirnen gearbeitet, ich denke man könnte auf jeden fall längere Nachrichten sende.",5.0,,,,
2022-11-28 07:40:10.951,5.0,screenChange,105.347,Problem Solving,787e061e-220c-469e-9701-160975ede767,6.0,,,,,,
2022-11-28 07:46:21.058,6.0,screenChange,370.106,Problem Solving,787e061e-220c-469e-9701-160975ede767,7.0,,,,,,
