time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:33:36.479,0.0,screenChange,,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,1.0,,,,,,
2022-11-28 07:33:41.128,1.0,screenChange,4.646,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,2.0,,,,,,
2022-11-28 07:33:47.462,2.0,screenChange,6.332,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,3.0,,,,,,
2022-11-28 07:34:04.879,3.0,screenChange,17.416,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,2.0,,,,,,
2022-11-28 07:34:20.895,2.0,screenChange,33.432,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,3.0,,,,,,
2022-11-28 07:34:28.027,3.0,screenChange,7.129,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,4.0,,,,,,
2022-11-28 07:34:48.994,4.0,screenChange,20.965,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,5.0,,,,,,
2022-11-28 07:34:48.997,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,4.0,5,0,6,000010000011000001000001000001
2022-11-28 07:35:18.360,5.0,screenChange,29.364,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,4.0,,,,,,
2022-11-28 07:35:45.028,4.0,screenChange,56.032,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,5.0,,,,,,
2022-11-28 07:35:45.030,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,4.0,5,0,6,011110010000011110010010011110
2022-11-28 07:36:35.528,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,keine Ahnung einfach gemacht,5.0,,,,
2022-11-28 07:36:37.609,5.0,screenChange,52.579,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,6.0,,,,,,
2022-11-28 07:37:59.643,6.0,screenChange,82.033,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,7.0,,,,,,
2022-11-28 07:37:59.645,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,6.0,5,0,6,001010101011101010001010000000
2022-11-28 07:38:27.527,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,ja war es musste überlegen,7.0,,,,
2022-11-28 07:38:29.292,7.0,screenChange,29.647,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,8.0,,,,,,
2022-11-28 07:38:54.958,8.0,screenChange,25.665,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,9.0,,,,,,
2022-11-28 07:38:54.959,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,8.0,5,0,6,110010101101110010011100010100
2022-11-28 07:39:01.642,9.0,screenChange,6.683,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,10.0,,,,,,
2022-11-28 07:39:41.758,10.0,screenChange,40.115,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,11.0,,,,,,
2022-11-28 07:39:41.760,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,10.0,1,0,9,000100000
2022-11-28 07:39:41.761,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,10.0,1,3,9,000000000
2022-11-28 07:39:41.761,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,10.0,1,1,9,100000000
2022-11-28 07:39:41.761,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,10.0,1,2,9,000000010
2022-11-28 07:39:41.762,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,10.0,1,4,9,001000000
2022-11-28 07:40:17.959,11.0,screenChange,36.199,Problem Solving,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,12.0,,,,,,
2022-11-28 07:40:17.960,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,11.0,1,0,9,000001000
2022-11-28 07:40:17.960,,,,ps,09f34256-2ab7-4578-8ba1-2eabb09b6bbc,,,11.0,1,0,9,000000010
