time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 07:36:02.583,0.0,screenChange,,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,1.0,,,,,,
2022-11-28 07:36:11.281,1.0,screenChange,8.696,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,2.0,,,,,,
2022-11-28 07:36:23.848,2.0,screenChange,12.565,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,3.0,,,,,,
2022-11-28 07:36:25.898,3.0,screenChange,2.049,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,2.0,,,,,,
2022-11-28 07:36:26.180,2.0,screenChange,2.331,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,1.0,,,,,,
2022-11-28 07:36:30.547,1.0,screenChange,6.698,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,2.0,,,,,,
2022-11-28 07:36:30.797,2.0,screenChange,0.249,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,3.0,,,,,,
2022-11-28 07:36:51.631,3.0,screenChange,20.832,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,4.0,,,,,,
2022-11-28 07:37:30.280,4.0,screenChange,38.648,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,5.0,,,,,,
2022-11-28 07:37:30.283,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,4.0,5,0,6,011100010000011100010100011100
2022-11-28 07:39:31.163,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,Können kann man fast alles aber der Empfänger muss auch meine Komunikationsart verstehen...,5.0,,,,
2022-11-28 07:39:33.362,5.0,screenChange,123.081,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,6.0,,,,,,
2022-11-28 07:43:48.539,6.0,screenChange,255.175,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,7.0,,,,,,
2022-11-28 07:43:48.541,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,6.0,5,0,6,101100101100000000000000000000
2022-11-28 07:44:30.475,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,Platz zu finden für die Ziffern… ,7.0,,,,
2022-11-28 07:44:35.839,7.0,screenChange,47.298,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,8.0,,,,,,
2022-11-28 07:50:19.809,8.0,screenChange,343.969,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,9.0,,,,,,
2022-11-28 07:50:19.811,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,8.0,5,0,6,110110101101110010101101110110
2022-11-28 07:50:33.258,9.0,screenChange,13.447,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,10.0,,,,,,
2022-11-28 07:51:03.891,10.0,screenChange,30.632,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,11.0,,,,,,
2022-11-28 07:51:03.893,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,10.0,1,2,9,111111110
2022-11-28 07:51:03.893,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,10.0,1,0,9,111100000
2022-11-28 07:51:03.893,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,10.0,1,1,9,100000000
2022-11-28 07:51:03.894,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,10.0,1,3,9,000000000
2022-11-28 07:51:03.894,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,10.0,1,4,9,111000000
2022-11-28 07:54:41.909,11.0,screenChange,218.017,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,12.0,,,,,,
2022-11-28 07:54:41.910,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,100000000
2022-11-28 07:54:41.910,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,111111111
2022-11-28 07:54:41.911,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,111110000
2022-11-28 07:54:41.911,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,000000001
2022-11-28 07:54:41.911,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,111000000
2022-11-28 07:55:02.692,12.0,screenChange,20.782,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,11.0,,,,,,
2022-11-28 07:55:30.094,11.0,screenChange,48.184,Problem Solving,ed684031-4af1-433b-9575-3d36e40e7a5c,12.0,,,,,,
2022-11-28 07:55:30.097,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,111111111
2022-11-28 07:55:30.097,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,100000000
2022-11-28 07:55:30.098,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,001000000
2022-11-28 07:55:30.098,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,000000001
2022-11-28 07:55:30.098,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,,11.0,1,0,9,000010000
2022-11-28 07:56:40.978,,,,ps,ed684031-4af1-433b-9575-3d36e40e7a5c,,"alles aber eine könnte unverständlich sein da man nicht mehr als 9 Ampeln in einer Reihe hat, kann man nicht das ganze Alphabet mit Ampeln senden.",12.0,,,,
