time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:26:05.438,0.0,screenChange,25.432,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,1.0,,,,,,
2022-11-28 10:26:28.104,1.0,screenChange,22.663,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,2.0,,,,,,
2022-11-28 10:26:38.804,2.0,screenChange,10.698,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,3.0,,,,,,
2022-11-28 10:26:41.805,3.0,screenChange,2.999,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,4.0,,,,,,
2022-11-28 10:26:43.588,4.0,screenChange,1.781,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,5.0,,,,,,
2022-11-28 10:26:51.520,5.0,screenChange,7.93,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,6.0,,,,,,
2022-11-28 10:26:58.421,6.0,screenChange,6.899,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,7.0,,,,,,
2022-11-28 10:27:04.451,7.0,screenChange,6.028,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,8.0,,,,,,
2022-11-28 10:27:14.058,8.0,screenChange,9.605,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,9.0,,,,,,
2022-11-28 10:27:21.322,9.0,screenChange,7.262,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,10.0,,,,,,
2022-11-28 10:27:23.188,10.0,screenChange,1.865,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,11.0,,,,,,
2022-11-28 10:27:26.487,11.0,screenChange,3.297,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,12.0,,,,,,
2022-11-28 10:27:36.455,12.0,screenChange,9.966,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,13.0,,,,,,
2022-11-28 10:27:53.606,13.0,screenChange,17.147,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,14.0,,,,,,
2022-11-28 10:27:58.489,14.0,screenChange,4.881,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,15.0,,,,,,
2022-11-28 10:28:01.455,15.0,screenChange,2.965,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,16.0,,,,,,
2022-11-28 10:28:06.188,16.0,screenChange,4.731,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,17.0,,,,,,
2022-11-28 10:28:35.589,17.0,screenChange,29.399,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,18.0,,,,,,
2022-11-28 10:28:40.055,18.0,screenChange,4.463,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,19.0,,,,,,
2022-11-28 10:28:41.988,19.0,screenChange,1.931,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,20.0,,,,,,
2022-11-28 10:28:51.522,20.0,screenChange,9.533,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,21.0,,,,,,
2022-11-28 10:28:55.388,21.0,screenChange,3.865,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,22.0,,,,,,
2022-11-28 10:29:01.189,22.0,screenChange,5.8,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,23.0,,,,,,
2022-11-28 10:29:15.921,23.0,screenChange,14.73,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,24.0,,,,,,
2022-11-28 10:29:26.141,24.0,screenChange,10.217,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,25.0,,,,,,
2022-11-28 10:29:28.654,25.0,screenChange,2.513,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,26.0,,,,,,
2022-11-28 10:29:29.788,26.0,screenChange,1.133,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,27.0,,,,,,
2022-11-28 10:29:38.006,27.0,screenChange,8.217,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,28.0,,,,,,
2022-11-28 10:29:41.055,28.0,screenChange,3.047,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,29.0,,,,,,
2022-11-28 10:29:45.539,29.0,screenChange,4.482,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,30.0,,,,,,
2022-11-28 10:29:47.421,30.0,screenChange,1.881,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,31.0,,,,,,
2022-11-28 10:29:48.871,31.0,screenChange,1.449,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,32.0,,,,,,
2022-11-28 10:29:52.155,32.0,screenChange,3.282,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,33.0,,,,,,
2022-11-28 10:29:58.255,33.0,screenChange,6.099,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,34.0,,,,,,
2022-11-28 10:30:01.422,34.0,screenChange,3.161,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,35.0,,,,,,
2022-11-28 10:30:02.772,35.0,screenChange,1.347,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,36.0,,,,,,
2022-11-28 10:30:04.039,36.0,screenChange,1.266,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,37.0,,,,,,
2022-11-28 10:30:07.405,37.0,screenChange,3.365,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,38.0,,,,,,
2022-11-28 10:30:09.139,38.0,screenChange,1.733,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,39.0,,,,,,
2022-11-28 10:30:11.905,39.0,screenChange,2.764,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,40.0,,,,,,
2022-11-28 10:30:17.723,40.0,screenChange,5.816,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,41.0,,,,,,
2022-11-28 10:30:22.305,41.0,screenChange,4.581,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,42.0,,,,,,
2022-11-28 10:30:24.855,42.0,screenChange,2.548,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,43.0,,,,,,
2022-11-28 10:30:29.438,43.0,screenChange,4.581,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,44.0,,,,,,
2022-11-28 10:30:32.305,44.0,screenChange,2.865,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,45.0,,,,,,
2022-11-28 10:30:47.009,45.0,screenChange,14.703,Instruction,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,46.0,,,,,,
2022-11-28 10:30:48.390,0.0,screenChange,,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,1.0,,,,,,
2022-11-28 10:30:52.656,1.0,screenChange,4.265,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,2.0,,,,,,
2022-11-28 10:30:55.624,2.0,screenChange,2.967,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,3.0,,,,,,
2022-11-28 10:31:02.358,3.0,screenChange,6.728,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,4.0,,,,,,
2022-11-28 10:31:43.457,4.0,screenChange,41.097,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,5.0,,,,,,
2022-11-28 10:31:43.459,,,,ps,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,,,4.0,5,0,6,011100010000011100010100011100
2022-11-28 10:33:01.924,,,,ps,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,,"Ich denke man kann damit gut die Nachrichten versenden, ohne das man die Nachrichten mit Buchstaben schreiben muss.",5.0,,,,
2022-11-28 10:33:03.939,5.0,screenChange,80.481,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,6.0,,,,,,
2022-11-28 10:34:56.694,,,,ps,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,,,6.0,5,0,6,110000000000001100000011000000
2022-11-28 10:34:56.694,6.0,screenChange,112.754,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,7.0,,,,,,
2022-11-28 10:35:29.675,,,,ps,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,,Das man die Zahl erkennen kann.,7.0,,,,
2022-11-28 10:35:30.876,7.0,screenChange,34.182,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,8.0,,,,,,
2022-11-28 10:36:48.292,8.0,screenChange,77.415,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,9.0,,,,,,
2022-11-28 10:36:48.293,,,,ps,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,,,8.0,5,0,6,110000111111111111111111100011
2022-11-28 10:36:55.059,9.0,screenChange,6.766,Problem Solving,bf07ed91-91e9-45d9-a470-1ec4c8bd752d,10.0,,,,,,
