time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:25:28.884,0.0,screenChange,,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,1.0,,,,,,
2022-11-28 10:26:15.950,1.0,screenChange,47.065,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,2.0,,,,,,
2022-11-28 10:26:23.198,2.0,screenChange,7.246,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,1.0,,,,,,
2022-11-28 10:26:28.181,1.0,screenChange,12.229,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,2.0,,,,,,
2022-11-28 10:26:30.331,2.0,screenChange,2.148,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,3.0,,,,,,
2022-11-28 10:26:34.414,3.0,screenChange,4.081,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,4.0,,,,,,
2022-11-28 10:26:51.581,4.0,screenChange,17.165,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,5.0,,,,,,
2022-11-28 10:26:51.584,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,4.0,5,0,6,010000010000010000010000010001
2022-11-28 10:26:58.863,5.0,screenChange,7.28,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,4.0,,,,,,
2022-11-28 10:27:17.582,4.0,screenChange,25.999,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,5.0,,,,,,
2022-11-28 10:27:17.583,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,4.0,5,0,6,110000110000110000000000000000
2022-11-28 10:28:09.031,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,"Ich denke ja, weil zu Zeit der Ägypter schrieb man mit verschiedenen Systemen.",5.0,,,,
2022-11-28 10:28:20.180,5.0,screenChange,62.597,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,6.0,,,,,,
2022-11-28 10:28:37.264,6.0,screenChange,17.083,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,7.0,,,,,,
2022-11-28 10:28:37.265,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,6.0,5,0,6,101100101100000000000000000000
2022-11-28 10:29:05.647,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,"Das Schwierigste war zu wissen, wie man die Glühbirnen anordnet, dass es Sinn ergibt.",7.0,,,,
2022-11-28 10:29:07.062,7.0,screenChange,29.797,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,8.0,,,,,,
2022-11-28 10:29:42.345,8.0,screenChange,35.281,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,9.0,,,,,,
2022-11-28 10:29:42.346,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,8.0,5,0,6,110111101101110111111000111000
2022-11-28 10:29:52.613,9.0,screenChange,10.267,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,10.0,,,,,,
2022-11-28 10:30:10.878,10.0,screenChange,18.264,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,11.0,,,,,,
2022-11-28 10:30:10.879,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,10.0,1,0,9,111100000
2022-11-28 10:30:10.880,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,10.0,1,2,9,111111110
2022-11-28 10:30:10.880,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,10.0,1,1,9,100000000
2022-11-28 10:30:10.880,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,10.0,1,3,9,000000000
2022-11-28 10:30:10.881,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,10.0,1,4,9,111000000
2022-11-28 10:32:12.029,11.0,screenChange,121.15,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,12.0,,,,,,
2022-11-28 10:32:12.032,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,11.0,1,0,9,100000000
2022-11-28 10:32:12.033,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,11.0,1,0,9,111111111
2022-11-28 10:32:12.033,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,11.0,1,0,9,000000000
2022-11-28 10:32:12.033,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,11.0,1,0,9,111000000
2022-11-28 10:32:12.034,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,,11.0,1,0,9,111110000
2022-11-28 10:32:46.511,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,"ich denke ja, weil man die Zahlen/Buchstaben genau anschauen muss.",12.0,,,,
2022-11-28 10:32:48.110,12.0,screenChange,36.079,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,13.0,,,,,,
2022-11-28 10:33:23.828,,,,ps,1b5ad272-4ecd-4e16-9cb8-5441834b9007,,"ich denke, dass das geht, ich weiss aber nicht mehr genau wie. denn der Computer kann mit 0 und 1 rechenen.",13.0,,,,
2022-11-28 10:33:25.326,13.0,screenChange,37.215,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,14.0,,,,,,
2022-11-28 10:33:50.811,14.0,screenChange,25.484,Problem Solving,1b5ad272-4ecd-4e16-9cb8-5441834b9007,15.0,,,,,,
