time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:26:18.002,0.0,screenChange,6.596,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,1.0,,,,,,
2022-11-28 10:27:30.533,1.0,screenChange,72.529,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,2.0,,,,,,
2022-11-28 10:27:51.583,2.0,screenChange,21.048,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,3.0,,,,,,
2022-11-28 10:28:08.300,3.0,screenChange,16.716,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,4.0,,,,,,
2022-11-28 10:28:13.250,4.0,screenChange,4.949,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,5.0,,,,,,
2022-11-28 10:28:30.334,5.0,screenChange,17.082,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,6.0,,,,,,
2022-11-28 10:28:44.767,6.0,screenChange,14.432,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,7.0,,,,,,
2022-11-28 10:29:00.666,7.0,screenChange,15.899,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,8.0,,,,,,
2022-11-28 10:29:22.765,8.0,screenChange,22.098,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,9.0,,,,,,
2022-11-28 10:29:35.832,9.0,screenChange,13.067,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,10.0,,,,,,
2022-11-28 10:29:42.498,10.0,screenChange,6.665,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,11.0,,,,,,
2022-11-28 10:29:53.348,11.0,screenChange,10.848,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,12.0,,,,,,
2022-11-28 10:30:09.582,12.0,screenChange,16.233,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,13.0,,,,,,
2022-11-28 10:30:28.447,13.0,screenChange,18.864,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,14.0,,,,,,
2022-11-28 10:30:54.415,14.0,screenChange,25.967,Instruction,2599514c-bea5-4a7d-aa08-38157168847d,15.0,,,,,,
