time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:28:42.379,0.0,screenChange,3.506,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,1.0,,,,,,
2022-11-28 10:28:44.625,1.0,screenChange,2.245,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,2.0,,,,,,
2022-11-28 10:28:47.298,2.0,screenChange,2.673,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,3.0,,,,,,
2022-11-28 10:28:49.392,3.0,screenChange,2.093,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,4.0,,,,,,
2022-11-28 10:28:51.230,4.0,screenChange,1.838,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,5.0,,,,,,
2022-11-28 10:28:52.990,5.0,screenChange,1.759,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,6.0,,,,,,
2022-11-28 10:28:55.963,6.0,screenChange,2.973,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,7.0,,,,,,
2022-11-28 10:28:58.599,7.0,screenChange,2.636,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,8.0,,,,,,
2022-11-28 10:28:59.605,8.0,screenChange,1.006,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,9.0,,,,,,
2022-11-28 10:29:00.966,9.0,screenChange,1.361,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,10.0,,,,,,
2022-11-28 10:29:03.182,10.0,screenChange,2.216,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,11.0,,,,,,
2022-11-28 10:29:04.921,11.0,screenChange,1.738,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,12.0,,,,,,
2022-11-28 10:29:11.770,12.0,screenChange,6.848,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,13.0,,,,,,
2022-11-28 10:29:12.890,13.0,screenChange,1.119,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,14.0,,,,,,
2022-11-28 10:29:13.594,14.0,screenChange,0.704,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,15.0,,,,,,
2022-11-28 10:29:14.486,15.0,screenChange,0.891,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,16.0,,,,,,
2022-11-28 10:29:15.413,16.0,screenChange,0.927,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,17.0,,,,,,
2022-11-28 10:29:16.289,17.0,screenChange,0.876,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,18.0,,,,,,
2022-11-28 10:29:17.152,18.0,screenChange,0.863,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,19.0,,,,,,
2022-11-28 10:29:18.142,19.0,screenChange,0.99,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,20.0,,,,,,
2022-11-28 10:29:22.831,20.0,screenChange,4.689,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,21.0,,,,,,
2022-11-28 10:29:23.558,21.0,screenChange,0.727,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,22.0,,,,,,
2022-11-28 10:29:24.086,22.0,screenChange,0.528,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,23.0,,,,,,
2022-11-28 10:29:24.663,23.0,screenChange,0.577,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,24.0,,,,,,
2022-11-28 10:29:25.241,24.0,screenChange,0.578,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,25.0,,,,,,
2022-11-28 10:29:25.674,25.0,screenChange,0.433,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,26.0,,,,,,
2022-11-28 10:29:26.117,26.0,screenChange,0.442,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,27.0,,,,,,
2022-11-28 10:29:26.551,27.0,screenChange,0.434,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,28.0,,,,,,
2022-11-28 10:29:26.922,28.0,screenChange,0.371,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,29.0,,,,,,
2022-11-28 10:29:27.315,29.0,screenChange,0.393,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,30.0,,,,,,
2022-11-28 10:29:27.713,30.0,screenChange,0.398,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,31.0,,,,,,
2022-11-28 10:29:28.112,31.0,screenChange,0.399,Instruction,8c7a33db-db12-4bde-8ce8-0c78b16de28a,32.0,,,,,,
