time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:26:13.898,0.0,screenChange,4.763,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,1.0,,,,,,
2022-11-28 10:27:00.046,1.0,screenChange,46.146,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,2.0,,,,,,
2022-11-28 10:27:05.381,2.0,screenChange,5.334,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,3.0,,,,,,
2022-11-28 10:27:10.747,3.0,screenChange,5.365,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,4.0,,,,,,
2022-11-28 10:27:14.164,4.0,screenChange,3.416,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,5.0,,,,,,
2022-11-28 10:27:25.098,5.0,screenChange,10.932,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,6.0,,,,,,
2022-11-28 10:27:44.230,6.0,screenChange,19.13,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,7.0,,,,,,
2022-11-28 10:27:49.880,7.0,screenChange,5.65,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,8.0,,,,,,
2022-11-28 10:28:07.647,8.0,screenChange,17.766,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,9.0,,,,,,
2022-11-28 10:28:10.147,9.0,screenChange,2.5,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,10.0,,,,,,
2022-11-28 10:28:11.630,10.0,screenChange,1.482,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,11.0,,,,,,
2022-11-28 10:28:12.847,11.0,screenChange,1.216,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,12.0,,,,,,
2022-11-28 10:28:13.947,12.0,screenChange,1.1,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,13.0,,,,,,
2022-11-28 10:28:15.131,13.0,screenChange,1.183,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,14.0,,,,,,
2022-11-28 10:28:16.213,14.0,screenChange,1.081,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,15.0,,,,,,
2022-11-28 10:28:20.597,15.0,screenChange,4.384,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,16.0,,,,,,
2022-11-28 10:28:21.514,16.0,screenChange,0.915,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,17.0,,,,,,
2022-11-28 10:28:22.396,17.0,screenChange,0.881,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,18.0,,,,,,
2022-11-28 10:28:23.230,18.0,screenChange,0.833,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,19.0,,,,,,
2022-11-28 10:28:25.697,19.0,screenChange,2.466,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,20.0,,,,,,
2022-11-28 10:28:27.080,20.0,screenChange,1.382,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,21.0,,,,,,
2022-11-28 10:28:28.097,21.0,screenChange,1.016,Instruction,a1864d24-fcbf-48a3-8f30-5fa988a67975,22.0,,,,,,
