time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:25:46.235,0.0,screenChange,,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,1.0,,,,,,
2022-11-28 10:25:55.335,1.0,screenChange,9.097,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,2.0,,,,,,
2022-11-28 10:26:01.335,2.0,screenChange,5.999,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,1.0,,,,,,
2022-11-28 10:26:09.833,1.0,screenChange,14.497,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,2.0,,,,,,
2022-11-28 10:26:10.933,2.0,screenChange,1.099,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,3.0,,,,,,
2022-11-28 10:26:18.268,3.0,screenChange,7.333,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,2.0,,,,,,
2022-11-28 10:26:24.584,2.0,screenChange,13.649,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,3.0,,,,,,
2022-11-28 10:26:25.801,3.0,screenChange,1.216,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,4.0,,,,,,
2022-11-28 10:28:14.239,4.0,screenChange,108.437,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,5.0,,,,,,
2022-11-28 10:28:14.241,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,,4.0,5,0,6,001100010000011000010100011100
2022-11-28 10:28:57.671,5.0,screenChange,43.431,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,4.0,,,,,,
2022-11-28 10:29:02.621,4.0,screenChange,48.381,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,5.0,,,,,,
2022-11-28 10:29:02.623,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,,4.0,5,0,6,110000110000010000010000000000
2022-11-28 10:31:37.792,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,"Da ich weiss, dass sich die ""Zahlen"" im Binärsystem ""verdoppeln"" (1,2,4,8,16 …) habe ich 2 + 4 zusammengezählt um 6 zu bekommen, was im Binärsystem nicht so vorkommt. Mit diesem Raster können bestimmt lange Texte versendet werden.",5.0,,,,
2022-11-28 10:31:39.741,5.0,screenChange,157.119,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,6.0,,,,,,
2022-11-28 10:35:57.715,6.0,screenChange,257.974,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,7.0,,,,,,
2022-11-28 10:35:57.718,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,,6.0,5,0,6,011001111110000000000000000000
2022-11-28 10:37:33.217,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,"Ich finde schon, weil ich nicht wirklich wusste wie ich es machen sollte. Ich habe mir das Binärsystem vorgestellt (von links nach rechts verdoppeln sich die Zahlen). Ich habe am Ende die Zahlen angeklickt, welche addiert 2022 ergeben.",7.0,,,,
2022-11-28 10:37:34.033,7.0,screenChange,96.315,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,8.0,,,,,,
2022-11-28 10:41:17.372,8.0,screenChange,223.338,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,9.0,,,,,,
2022-11-28 10:41:17.375,,,,ps,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,,,8.0,5,0,6,011000110011110110001000000000
2022-11-28 10:41:26.189,9.0,screenChange,8.815,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,10.0,,,,,,
2022-11-28 10:42:02.041,10.0,screenChange,35.851,Problem Solving,7fba615f-5ec1-4bb6-a8c8-889e9fce9531,11.0,,,,,,
