time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:26:11.963,0.0,screenChange,34.701,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,1.0,,,,,,
2022-11-28 10:26:28.878,1.0,screenChange,16.913,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,2.0,,,,,,
2022-11-28 10:26:50.613,2.0,screenChange,21.733,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,3.0,,,,,,
2022-11-28 10:26:57.130,3.0,screenChange,6.515,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,4.0,,,,,,
2022-11-28 10:27:03.362,4.0,screenChange,6.231,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,5.0,,,,,,
2022-11-28 10:27:19.113,5.0,screenChange,15.749,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,6.0,,,,,,
2022-11-28 10:27:26.613,6.0,screenChange,7.499,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,7.0,,,,,,
2022-11-28 10:27:38.779,7.0,screenChange,12.165,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,8.0,,,,,,
2022-11-28 10:27:49.680,8.0,screenChange,10.899,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,9.0,,,,,,
2022-11-28 10:28:23.429,9.0,screenChange,33.747,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,10.0,,,,,,
2022-11-28 10:28:25.731,10.0,screenChange,2.301,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,11.0,,,,,,
2022-11-28 10:28:28.580,11.0,screenChange,2.849,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,12.0,,,,,,
2022-11-28 10:28:34.914,12.0,screenChange,6.333,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,13.0,,,,,,
2022-11-28 10:28:39.332,13.0,screenChange,4.416,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,14.0,,,,,,
2022-11-28 10:28:48.931,14.0,screenChange,9.591,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,15.0,,,,,,
2022-11-28 10:28:55.081,15.0,screenChange,6.148,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,16.0,,,,,,
2022-11-28 10:29:02.754,16.0,screenChange,7.672,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,17.0,,,,,,
2022-11-28 10:29:12.931,17.0,screenChange,10.177,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,18.0,,,,,,
2022-11-28 10:29:26.948,18.0,screenChange,14.016,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,19.0,,,,,,
2022-11-28 10:29:31.666,19.0,screenChange,4.716,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,20.0,,,,,,
2022-11-28 10:29:35.248,20.0,screenChange,3.581,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,21.0,,,,,,
2022-11-28 10:29:39.898,21.0,screenChange,4.649,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,22.0,,,,,,
2022-11-28 10:29:44.598,22.0,screenChange,4.7,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,23.0,,,,,,
2022-11-28 10:30:02.149,23.0,screenChange,17.549,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,24.0,,,,,,
2022-11-28 10:30:17.267,24.0,screenChange,15.117,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,25.0,,,,,,
2022-11-28 10:30:22.965,25.0,screenChange,5.698,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,26.0,,,,,,
2022-11-28 10:30:25.016,26.0,screenChange,2.049,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,27.0,,,,,,
2022-11-28 10:30:29.965,27.0,screenChange,4.948,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,28.0,,,,,,
2022-11-28 10:30:35.683,28.0,screenChange,5.716,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,29.0,,,,,,
2022-11-28 10:30:40.683,29.0,screenChange,4.999,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,30.0,,,,,,
2022-11-28 10:30:41.816,30.0,screenChange,1.132,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,31.0,,,,,,
2022-11-28 10:30:43.383,31.0,screenChange,1.566,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,32.0,,,,,,
2022-11-28 10:30:44.315,32.0,screenChange,0.93,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,33.0,,,,,,
2022-11-28 10:30:54.534,33.0,screenChange,10.218,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,34.0,,,,,,
2022-11-28 10:31:12.351,34.0,screenChange,17.816,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,35.0,,,,,,
2022-11-28 10:31:17.399,35.0,screenChange,5.048,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,36.0,,,,,,
2022-11-28 10:31:19.200,36.0,screenChange,1.8,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,37.0,,,,,,
2022-11-28 10:31:29.651,37.0,screenChange,10.45,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,38.0,,,,,,
2022-11-28 10:31:32.417,38.0,screenChange,2.765,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,39.0,,,,,,
2022-11-28 10:31:36.550,39.0,screenChange,4.132,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,40.0,,,,,,
2022-11-28 10:31:45.584,40.0,screenChange,9.033,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,41.0,,,,,,
2022-11-28 10:31:56.385,41.0,screenChange,10.8,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,42.0,,,,,,
2022-11-28 10:32:02.017,42.0,screenChange,5.631,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,43.0,,,,,,
2022-11-28 10:32:06.317,43.0,screenChange,4.299,Instruction,d6ce348e-fc89-40b6-be74-f0654aec35bb,44.0,,,,,,
