time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:26:14.653,0.0,screenChange,38.577,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,1.0,,,,,,
2022-11-28 10:26:32.253,1.0,screenChange,17.598,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,2.0,,,,,,
2022-11-28 10:26:38.719,2.0,screenChange,6.464,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,3.0,,,,,,
2022-11-28 10:26:42.902,3.0,screenChange,4.181,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,4.0,,,,,,
2022-11-28 10:26:45.586,4.0,screenChange,2.682,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,3.0,,,,,,
2022-11-28 10:26:48.919,3.0,screenChange,6.015,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,4.0,,,,,,
2022-11-28 10:26:53.353,4.0,screenChange,4.432,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,5.0,,,,,,
2022-11-28 10:27:02.302,5.0,screenChange,8.948,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,6.0,,,,,,
2022-11-28 10:27:07.603,6.0,screenChange,5.299,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,7.0,,,,,,
2022-11-28 10:27:13.719,7.0,screenChange,6.114,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,8.0,,,,,,
2022-11-28 10:27:20.269,8.0,screenChange,6.548,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,9.0,,,,,,
2022-11-28 10:27:30.186,9.0,screenChange,9.916,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,10.0,,,,,,
2022-11-28 10:27:33.269,10.0,screenChange,3.082,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,11.0,,,,,,
2022-11-28 10:27:35.719,11.0,screenChange,2.449,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,12.0,,,,,,
2022-11-28 10:27:41.136,12.0,screenChange,5.415,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,13.0,,,,,,
2022-11-28 10:27:48.238,13.0,screenChange,7.101,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,14.0,,,,,,
2022-11-28 10:27:55.486,14.0,screenChange,7.247,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,15.0,,,,,,
2022-11-28 10:27:59.470,15.0,screenChange,3.983,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,16.0,,,,,,
2022-11-28 10:28:15.020,16.0,screenChange,15.548,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,17.0,,,,,,
2022-11-28 10:28:22.436,17.0,screenChange,7.415,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,18.0,,,,,,
2022-11-28 10:28:32.420,18.0,screenChange,9.982,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,19.0,,,,,,
2022-11-28 10:28:34.220,19.0,screenChange,1.798,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,20.0,,,,,,
2022-11-28 10:28:51.970,20.0,screenChange,17.749,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,21.0,,,,,,
2022-11-28 10:28:58.303,21.0,screenChange,6.331,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,22.0,,,,,,
2022-11-28 10:29:12.989,22.0,screenChange,14.685,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,23.0,,,,,,
2022-11-28 10:29:21.787,23.0,screenChange,8.798,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,24.0,,,,,,
2022-11-28 10:29:25.870,24.0,screenChange,4.082,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,25.0,,,,,,
2022-11-28 10:29:28.370,25.0,screenChange,2.499,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,26.0,,,,,,
2022-11-28 10:29:31.454,26.0,screenChange,3.083,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,27.0,,,,,,
2022-11-28 10:29:34.170,27.0,screenChange,2.715,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,28.0,,,,,,
2022-11-28 10:29:35.954,28.0,screenChange,1.783,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,29.0,,,,,,
2022-11-28 10:29:37.821,29.0,screenChange,1.866,Instruction,a8cc1841-8945-447b-9ad6-55a1f8373f35,30.0,,,,,,
