time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:25:42.512,0.0,screenChange,,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,1.0,,,,,,
2022-11-28 10:25:50.681,1.0,screenChange,8.166,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,2.0,,,,,,
2022-11-28 10:25:54.196,2.0,screenChange,3.514,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,3.0,,,,,,
2022-11-28 10:26:03.778,3.0,screenChange,9.58,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,4.0,,,,,,
2022-11-28 10:26:42.361,4.0,screenChange,38.581,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,5.0,,,,,,
2022-11-28 10:26:42.364,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,4.0,5,0,6,111111000000000000000000000000
2022-11-28 10:28:39.578,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,Die Nachricht wurde mit Licht übermittelt. Es ist schwer zu verstehen was man sagen will. Es könnten längere Nachrichten versendet werden aber es ist aufwändiger.,5.0,,,,
2022-11-28 10:28:42.291,5.0,screenChange,119.929,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,6.0,,,,,,
2022-11-28 10:30:44.858,6.0,screenChange,122.566,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,7.0,,,,,,
2022-11-28 10:30:44.859,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,6.0,5,0,6,110111100000000000000000000000
2022-11-28 10:31:20.690,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,"Es war schwieriger, weil man nicht so viele Glühbirnen hat.",7.0,,,,
2022-11-28 10:31:22.423,7.0,screenChange,37.564,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,8.0,,,,,,
2022-11-28 10:33:23.554,8.0,screenChange,121.13,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,9.0,,,,,,
2022-11-28 10:33:23.556,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,8.0,5,0,6,010000100000000010000000000000
2022-11-28 10:33:35.670,9.0,screenChange,12.114,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,10.0,,,,,,
2022-11-28 10:33:58.154,10.0,screenChange,22.482,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,11.0,,,,,,
2022-11-28 10:33:58.156,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,10.0,1,1,9,100000000
2022-11-28 10:33:58.156,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,10.0,1,0,9,111100000
2022-11-28 10:33:58.157,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,10.0,1,4,9,111000000
2022-11-28 10:33:58.157,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,10.0,1,2,9,111111110
2022-11-28 10:33:58.157,,,,ps,cfff207a-ef45-40c1-8867-49245bf50710,,,10.0,1,3,9,000000000
2022-11-28 10:34:43.070,11.0,screenChange,44.914,Problem Solving,cfff207a-ef45-40c1-8867-49245bf50710,12.0,,,,,,
