time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:25:36.209,0.0,screenChange,,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,1.0,,,,,,
2022-11-28 10:26:30.980,1.0,screenChange,54.768,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,2.0,,,,,,
2022-11-28 10:26:35.812,2.0,screenChange,4.829,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,3.0,,,,,,
2022-11-28 10:26:44.696,3.0,screenChange,8.883,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,2.0,,,,,,
2022-11-28 10:26:44.996,2.0,screenChange,9.183,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,1.0,,,,,,
2022-11-28 10:26:58.814,1.0,screenChange,23.001,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,2.0,,,,,,
2022-11-28 10:27:02.780,2.0,screenChange,3.964,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,3.0,,,,,,
2022-11-28 10:27:03.664,3.0,screenChange,0.882,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,4.0,,,,,,
2022-11-28 10:28:28.732,4.0,screenChange,85.067,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,5.0,,,,,,
2022-11-28 10:28:28.734,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,4.0,5,0,6,001100010010010100010010001100
2022-11-28 10:29:05.602,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,"Ich denke nicht, ausser es wäre ein grösseres Raster
",5.0,,,,
2022-11-28 10:29:09.633,5.0,screenChange,40.9,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,6.0,,,,,,
2022-11-28 10:30:23.687,6.0,screenChange,74.052,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,7.0,,,,,,
2022-11-28 10:30:23.688,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,6.0,5,0,6,010000000000010000010000000000
2022-11-28 10:32:09.523,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,"Die grösste Herausforderung war, als ich herausfinden musste, wie ich die Nachricht so verschicke, dass sie Sinn macht. ",7.0,,,,
2022-11-28 10:32:10.287,7.0,screenChange,106.6,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,8.0,,,,,,
2022-11-28 10:33:57.240,8.0,screenChange,106.952,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,9.0,,,,,,
2022-11-28 10:33:57.243,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,8.0,5,0,6,010000000000000000001000010000
2022-11-28 10:34:06.342,9.0,screenChange,9.1,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,10.0,,,,,,
2022-11-28 10:34:28.540,10.0,screenChange,22.197,Problem Solving,df653620-9e7b-412f-97c4-8378b45ab349,11.0,,,,,,
2022-11-28 10:34:28.541,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,10.0,1,0,9,111100000
2022-11-28 10:34:28.542,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,10.0,1,3,9,000000000
2022-11-28 10:34:28.542,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,10.0,1,2,9,111111110
2022-11-28 10:34:28.542,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,10.0,1,1,9,100000000
2022-11-28 10:34:28.543,,,,ps,df653620-9e7b-412f-97c4-8378b45ab349,,,10.0,1,4,9,111000000
