time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 10:25:55.469,0.0,screenChange,11.499,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,1.0,,,,,,
2022-11-28 10:26:31.884,1.0,screenChange,36.412,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,2.0,,,,,,
2022-11-28 10:26:40.218,2.0,screenChange,8.332,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,3.0,,,,,,
2022-11-28 10:26:46.151,3.0,screenChange,5.931,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,4.0,,,,,,
2022-11-28 10:26:52.317,4.0,screenChange,6.164,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,5.0,,,,,,
2022-11-28 10:27:45.768,5.0,screenChange,53.449,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,6.0,,,,,,
2022-11-28 10:28:00.368,6.0,screenChange,14.599,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,7.0,,,,,,
2022-11-28 10:28:11.484,7.0,screenChange,11.115,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,8.0,,,,,,
2022-11-28 10:28:21.634,8.0,screenChange,10.149,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,9.0,,,,,,
2022-11-28 10:28:45.267,9.0,screenChange,23.632,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,10.0,,,,,,
2022-11-28 10:28:52.217,10.0,screenChange,6.949,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,11.0,,,,,,
2022-11-28 10:28:59.700,11.0,screenChange,7.482,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,12.0,,,,,,
2022-11-28 10:29:22.634,12.0,screenChange,22.933,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,13.0,,,,,,
2022-11-28 10:29:34.717,13.0,screenChange,12.082,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,14.0,,,,,,
2022-11-28 10:29:41.833,14.0,screenChange,7.116,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,15.0,,,,,,
2022-11-28 10:29:47.100,15.0,screenChange,5.266,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,16.0,,,,,,
2022-11-28 10:29:58.134,16.0,screenChange,11.032,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,17.0,,,,,,
2022-11-28 10:30:15.901,17.0,screenChange,17.766,Instruction,8733b323-a5b5-402a-b384-aacdfe416a99,18.0,,,,,,
