time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-30 08:20:45.818,0.0,screenChange,,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:20:59.801,1.0,screenChange,13.98,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:21:29.585,2.0,screenChange,29.782,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:21:36.134,1.0,screenChange,36.331,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:21:39.283,2.0,screenChange,3.147,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:21:43.233,1.0,screenChange,7.097,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:21:45.349,2.0,screenChange,2.115,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,3.0,,,,,,
2022-11-30 08:22:10.549,3.0,screenChange,25.199,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:22:12.733,2.0,screenChange,27.383,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:22:17.516,1.0,screenChange,32.166,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,0.0,,,,,,
2022-11-30 08:22:24.133,0.0,screenChange,38.783,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:22:27.299,1.0,screenChange,3.165,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:22:29.217,2.0,screenChange,1.917,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,3.0,,,,,,
2022-11-30 08:22:30.883,3.0,screenChange,1.665,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,4.0,,,,,,
2022-11-30 08:23:22.183,4.0,screenChange,51.299,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,5.0,,,,,,
2022-11-30 08:23:22.185,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,4.0,5,0,6,011110010000011110010010011110
2022-11-30 08:25:02.800,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,"Gezeichnet Nein ich glaube nicht, dass ich längere Nachrichten hätte versenden können.",5.0,,,,
2022-11-30 08:25:05.549,5.0,screenChange,103.365,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,6.0,,,,,,
2022-11-30 08:27:04.249,6.0,screenChange,118.699,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,7.0,,,,,,
2022-11-30 08:27:04.250,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,6.0,5,0,6,110000000000110000110000000000
2022-11-30 08:27:40.832,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,Mehr Zahlen weniger Platz,7.0,,,,
2022-11-30 08:27:42.265,7.0,screenChange,38.015,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,8.0,,,,,,
2022-11-30 08:28:16.781,8.0,screenChange,34.515,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,9.0,,,,,,
2022-11-30 08:28:16.782,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,8.0,5,0,6,000000000000000000000000000000
2022-11-30 08:28:37.999,9.0,screenChange,21.217,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,8.0,,,,,,
2022-11-30 08:28:45.931,8.0,screenChange,29.149,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,9.0,,,,,,
2022-11-30 08:28:45.933,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,8.0,5,0,6,000000000000000000000000000000
2022-11-30 08:28:47.664,9.0,screenChange,1.732,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,8.0,,,,,,
2022-11-30 08:34:54.714,8.0,screenChange,368.782,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,9.0,,,,,,
2022-11-30 08:34:54.715,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,8.0,5,0,6,010000000000001000000000000000
2022-11-30 08:35:06.296,9.0,screenChange,11.581,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,8.0,,,,,,
2022-11-30 08:37:52.996,8.0,screenChange,178.281,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,9.0,,,,,,
2022-11-30 08:37:52.997,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,8.0,5,0,6,110000100000110000000000000000
2022-11-30 08:37:54.362,9.0,screenChange,1.365,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,10.0,,,,,,
2022-11-30 08:38:30.446,10.0,screenChange,36.085,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,11.0,,,,,,
2022-11-30 08:38:30.447,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,10.0,1,0,9,111100000
2022-11-30 08:38:30.448,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,10.0,1,2,9,111111110
2022-11-30 08:38:30.448,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,10.0,1,1,9,100000000
2022-11-30 08:38:30.449,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,10.0,1,3,9,000000000
2022-11-30 08:38:30.449,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,10.0,1,4,9,111000000
2022-11-30 08:40:48.078,11.0,screenChange,137.631,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,12.0,,,,,,
2022-11-30 08:40:48.081,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,11.0,1,0,9,100000000
2022-11-30 08:40:48.082,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,11.0,1,0,9,111111111
2022-11-30 08:40:48.082,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,11.0,1,0,9,111111000
2022-11-30 08:40:48.083,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,11.0,1,0,9,111110000
2022-11-30 08:40:48.083,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,11.0,1,0,9,111000000
2022-11-30 08:42:16.262,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,Ja habe ich. Bob wird es eher nicht verstehen da es zu schwer ist.,12.0,,,,
2022-11-30 08:42:17.311,12.0,screenChange,89.23,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,13.0,,,,,,
2022-11-30 08:42:29.195,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,Nein,13.0,,,,
2022-11-30 08:42:30.544,13.0,screenChange,13.231,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,14.0,,,,,,
2022-11-30 08:53:08.981,14.0,screenChange,638.436,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,15.0,,,,,,
2022-11-30 08:53:08.984,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,14.0,1,0,4,1110
2022-11-30 08:53:08.985,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,14.0,1,2,4,1110
2022-11-30 08:53:08.985,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,14.0,1,1,4,1000
2022-11-30 08:53:08.985,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,14.0,1,3,4,1000
2022-11-30 08:53:08.986,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,14.0,1,4,4,1111
2022-11-30 08:53:45.498,15.0,screenChange,36.514,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,16.0,,,,,,
2022-11-30 08:53:45.502,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,15.0,1,1,4,1100
2022-11-30 08:53:45.502,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,15.0,1,0,4,1000
2022-11-30 08:53:45.503,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,15.0,1,4,4,1000
2022-11-30 08:53:45.503,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,15.0,1,3,4,1110
2022-11-30 08:53:45.503,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,,15.0,1,2,4,1110
2022-11-30 08:54:01.165,,,,ps,3d849071-9e84-466b-bf84-ed8af8ff0173,,Nein,16.0,,,,
2022-11-30 08:54:02.430,16.0,screenChange,16.929,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,17.0,,,,,,
2022-11-30 08:54:10.848,17.0,screenChange,8.417,Problem Solving,3d849071-9e84-466b-bf84-ed8af8ff0173,18.0,,,,,,
2022-11-30 08:54:16.347,0.0,screenChange,5.496,Instruction,3d849071-9e84-466b-bf84-ed8af8ff0173,1.0,,,,,,
2022-11-30 08:54:20.814,1.0,screenChange,4.464,Instruction,3d849071-9e84-466b-bf84-ed8af8ff0173,2.0,,,,,,
2022-11-30 08:54:24.497,2.0,screenChange,3.682,Instruction,3d849071-9e84-466b-bf84-ed8af8ff0173,3.0,,,,,,
2022-11-30 08:54:27.580,3.0,screenChange,3.081,Instruction,3d849071-9e84-466b-bf84-ed8af8ff0173,4.0,,,,,,
