time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-30 08:21:38.061,0.0,screenChange,54.593,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,1.0,,,,,,
2022-11-30 08:21:41.111,1.0,screenChange,3.048,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,2.0,,,,,,
2022-11-30 08:21:51.078,2.0,screenChange,9.965,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,3.0,,,,,,
2022-11-30 08:21:52.844,3.0,screenChange,1.764,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,4.0,,,,,,
2022-11-30 08:21:54.428,4.0,screenChange,1.582,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,5.0,,,,,,
2022-11-30 08:22:00.578,5.0,screenChange,6.149,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,6.0,,,,,,
2022-11-30 08:22:08.444,6.0,screenChange,7.865,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,7.0,,,,,,
2022-11-30 08:22:13.227,7.0,screenChange,4.782,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,8.0,,,,,,
2022-11-30 08:22:17.112,8.0,screenChange,3.884,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,9.0,,,,,,
2022-11-30 08:22:23.228,9.0,screenChange,6.115,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,10.0,,,,,,
2022-11-30 08:22:27.011,10.0,screenChange,3.781,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,11.0,,,,,,
2022-11-30 08:22:28.777,11.0,screenChange,1.764,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,12.0,,,,,,
2022-11-30 08:22:31.928,12.0,screenChange,3.15,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,13.0,,,,,,
2022-11-30 08:22:37.311,13.0,screenChange,5.382,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,14.0,,,,,,
2022-11-30 08:22:41.211,14.0,screenChange,3.899,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,15.0,,,,,,
2022-11-30 08:22:43.544,15.0,screenChange,2.332,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,16.0,,,,,,
2022-11-30 08:22:46.227,16.0,screenChange,2.682,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,17.0,,,,,,
2022-11-30 08:22:53.277,17.0,screenChange,7.048,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,18.0,,,,,,
2022-11-30 08:22:56.261,18.0,screenChange,2.983,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,19.0,,,,,,
2022-11-30 08:22:59.461,19.0,screenChange,3.199,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,20.0,,,,,,
2022-11-30 08:23:05.444,20.0,screenChange,5.981,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,21.0,,,,,,
2022-11-30 08:23:09.794,21.0,screenChange,4.349,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,22.0,,,,,,
2022-11-30 08:23:13.377,22.0,screenChange,3.582,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,23.0,,,,,,
2022-11-30 08:23:20.161,23.0,screenChange,6.782,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,24.0,,,,,,
2022-11-30 08:23:24.094,24.0,screenChange,3.932,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,25.0,,,,,,
2022-11-30 08:23:26.427,25.0,screenChange,2.332,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,26.0,,,,,,
2022-11-30 08:23:27.294,26.0,screenChange,0.866,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,27.0,,,,,,
2022-11-30 08:23:31.427,27.0,screenChange,4.132,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,28.0,,,,,,
2022-11-30 08:23:32.827,28.0,screenChange,1.399,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,29.0,,,,,,
2022-11-30 08:23:35.960,29.0,screenChange,3.132,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,30.0,,,,,,
2022-11-30 08:23:36.577,30.0,screenChange,0.616,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,31.0,,,,,,
2022-11-30 08:23:37.776,31.0,screenChange,1.198,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,32.0,,,,,,
2022-11-30 08:23:38.693,32.0,screenChange,0.915,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,33.0,,,,,,
2022-11-30 08:23:40.393,33.0,screenChange,1.698,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,34.0,,,,,,
2022-11-30 08:23:43.393,34.0,screenChange,2.998,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,35.0,,,,,,
2022-11-30 08:23:46.927,35.0,screenChange,3.533,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,36.0,,,,,,
2022-11-30 08:23:47.543,36.0,screenChange,0.615,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,37.0,,,,,,
2022-11-30 08:23:51.244,37.0,screenChange,3.7,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,38.0,,,,,,
2022-11-30 08:23:52.794,38.0,screenChange,1.549,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,39.0,,,,,,
2022-11-30 08:23:56.111,39.0,screenChange,3.316,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,40.0,,,,,,
2022-11-30 08:24:01.193,40.0,screenChange,5.081,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,41.0,,,,,,
2022-11-30 08:24:05.244,41.0,screenChange,4.05,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,42.0,,,,,,
2022-11-30 08:24:06.561,42.0,screenChange,1.316,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,43.0,,,,,,
2022-11-30 08:24:09.510,43.0,screenChange,2.947,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,44.0,,,,,,
2022-11-30 08:24:11.427,44.0,screenChange,1.916,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,45.0,,,,,,
2022-11-30 08:24:18.945,45.0,screenChange,7.517,Instruction,aec6eed1-9074-4da6-9a27-1cf71af3f82b,46.0,,,,,,
2022-11-30 08:24:21.410,0.0,screenChange,,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,1.0,,,,,,
2022-11-30 08:24:26.061,1.0,screenChange,4.649,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,2.0,,,,,,
2022-11-30 08:24:28.911,2.0,screenChange,2.849,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,3.0,,,,,,
2022-11-30 08:24:30.394,3.0,screenChange,1.482,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,4.0,,,,,,
2022-11-30 08:24:41.894,4.0,screenChange,11.499,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,5.0,,,,,,
2022-11-30 08:24:41.896,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,4.0,5,0,6,111111000000000000000000000000
2022-11-30 08:25:52.728,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,"Ja, wäre aber wahrscheinlich ein bisschen schwieriger je länger die Nachricht ist.",5.0,,,,
2022-11-30 08:25:55.943,5.0,screenChange,74.048,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,6.0,,,,,,
2022-11-30 08:26:09.642,6.0,screenChange,13.698,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,7.0,,,,,,
2022-11-30 08:26:09.643,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,6.0,5,0,6,110011000000000000000000000000
2022-11-30 08:26:50.891,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,"Ja, weil man irgendwo ja das Null hinmachen muss und die Leser dann nicht Wissen wo die Null ist.",7.0,,,,
2022-11-30 08:26:52.006,7.0,screenChange,42.364,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,8.0,,,,,,
2022-11-30 08:27:06.039,8.0,screenChange,14.032,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,9.0,,,,,,
2022-11-30 08:27:06.040,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,8.0,5,0,6,010000000000001000000000000000
2022-11-30 08:27:10.305,9.0,screenChange,4.265,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,10.0,,,,,,
2022-11-30 08:27:30.556,10.0,screenChange,20.25,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,11.0,,,,,,
2022-11-30 08:27:30.557,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,10.0,1,0,9,000100000
2022-11-30 08:27:30.557,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,10.0,1,2,9,000000010
2022-11-30 08:27:30.557,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,10.0,1,1,9,100000000
2022-11-30 08:27:30.557,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,10.0,1,4,9,001000000
2022-11-30 08:27:30.557,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,10.0,1,3,9,000000000
2022-11-30 08:27:58.405,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,11.0,1,0,9,100000000
2022-11-30 08:27:58.405,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,11.0,1,0,9,001000000
2022-11-30 08:27:58.405,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,11.0,1,0,9,000000001
2022-11-30 08:27:58.405,11.0,screenChange,27.848,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,12.0,,,,,,
2022-11-30 08:27:58.406,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,11.0,1,0,9,001000000
2022-11-30 08:27:58.406,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,11.0,1,0,9,000010000
2022-11-30 08:28:38.655,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,"Wenn er gut überlegt und alle Aufgaben zusammen anschaut, dann wird er es sicher verstehen.",12.0,,,,
2022-11-30 08:28:39.590,12.0,screenChange,41.185,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,13.0,,,,,,
2022-11-30 08:28:53.272,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,"Nein, ich glaube nicht.
",13.0,,,,
2022-11-30 08:28:54.623,13.0,screenChange,15.032,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,14.0,,,,,,
2022-11-30 08:29:22.790,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,14.0,1,0,4,1001
2022-11-30 08:29:22.790,14.0,screenChange,28.167,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,15.0,,,,,,
2022-11-30 08:29:22.791,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,14.0,1,4,4,1011
2022-11-30 08:29:22.791,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,14.0,1,3,4,1010
2022-11-30 08:29:22.791,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,14.0,1,2,4,1110
2022-11-30 08:29:22.791,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,14.0,1,1,4,1000
2022-11-30 08:29:40.888,15.0,screenChange,18.098,Problem Solving,aec6eed1-9074-4da6-9a27-1cf71af3f82b,16.0,,,,,,
2022-11-30 08:29:40.890,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,15.0,1,0,4,1000
2022-11-30 08:29:40.891,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,15.0,1,2,4,1000
2022-11-30 08:29:40.891,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,15.0,1,3,4,0010
2022-11-30 08:29:40.891,,,,ps,aec6eed1-9074-4da6-9a27-1cf71af3f82b,,,15.0,1,1,4,0001
