time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-30 08:20:51.348,0.0,screenChange,2.383,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,1.0,,,,,,
2022-11-30 08:20:56.097,1.0,screenChange,4.747,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,2.0,,,,,,
2022-11-30 08:21:09.364,2.0,screenChange,13.266,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,3.0,,,,,,
2022-11-30 08:21:45.997,3.0,screenChange,36.63,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,4.0,,,,,,
2022-11-30 08:21:48.264,4.0,screenChange,2.265,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,5.0,,,,,,
2022-11-30 08:21:57.581,5.0,screenChange,9.315,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,6.0,,,,,,
2022-11-30 08:22:02.547,6.0,screenChange,4.965,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,7.0,,,,,,
2022-11-30 08:22:05.164,7.0,screenChange,2.616,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,8.0,,,,,,
2022-11-30 08:22:10.897,8.0,screenChange,5.732,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,9.0,,,,,,
2022-11-30 08:22:19.046,9.0,screenChange,8.148,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,10.0,,,,,,
2022-11-30 08:22:22.264,10.0,screenChange,3.216,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,11.0,,,,,,
2022-11-30 08:22:25.330,11.0,screenChange,3.065,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,12.0,,,,,,
2022-11-30 08:22:30.280,12.0,screenChange,4.948,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,13.0,,,,,,
2022-11-30 08:22:37.664,13.0,screenChange,7.383,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,14.0,,,,,,
2022-11-30 08:22:43.463,14.0,screenChange,5.798,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,15.0,,,,,,
2022-11-30 08:22:46.080,15.0,screenChange,2.615,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,16.0,,,,,,
2022-11-30 08:22:51.680,16.0,screenChange,5.599,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,17.0,,,,,,
2022-11-30 08:22:59.063,17.0,screenChange,7.381,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,18.0,,,,,,
2022-11-30 08:23:04.730,18.0,screenChange,5.666,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,19.0,,,,,,
2022-11-30 08:23:07.984,19.0,screenChange,3.253,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,20.0,,,,,,
2022-11-30 08:23:09.263,20.0,screenChange,1.278,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,21.0,,,,,,
2022-11-30 08:23:11.497,21.0,screenChange,2.234,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,22.0,,,,,,
2022-11-30 08:23:12.681,22.0,screenChange,1.184,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,23.0,,,,,,
2022-11-30 08:23:13.646,23.0,screenChange,0.965,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,24.0,,,,,,
2022-11-30 08:23:14.547,24.0,screenChange,0.9,Instruction,5751f2b2-9c68-4c61-9c1d-4f812e7db4c8,25.0,,,,,,
