time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-30 08:20:21.652,0.0,screenChange,,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,1.0,,,,,,
2022-11-30 08:20:41.335,1.0,screenChange,19.682,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,2.0,,,,,,
2022-11-30 08:20:47.236,2.0,screenChange,5.899,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,3.0,,,,,,
2022-11-30 08:20:53.651,3.0,screenChange,6.414,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,4.0,,,,,,
2022-11-30 08:21:59.702,4.0,screenChange,66.051,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,5.0,,,,,,
2022-11-30 08:21:59.704,,,,ps,252afdc3-a36a-40e3-9fed-c0532056cc33,,,4.0,5,0,6,001110010000011100010010001100
2022-11-30 08:22:30.851,,,,ps,252afdc3-a36a-40e3-9fed-c0532056cc33,,?,5.0,,,,
2022-11-30 08:22:32.900,5.0,screenChange,33.196,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,6.0,,,,,,
2022-11-30 08:23:48.934,6.0,screenChange,76.033,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,7.0,,,,,,
2022-11-30 08:23:48.935,,,,ps,252afdc3-a36a-40e3-9fed-c0532056cc33,,,6.0,5,0,6,110111010101111111010010111111
2022-11-30 08:24:05.168,,,,ps,252afdc3-a36a-40e3-9fed-c0532056cc33,,jaaaaaaaaaaaa!!,7.0,,,,
2022-11-30 08:24:06.184,7.0,screenChange,17.249,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,8.0,,,,,,
2022-11-30 08:27:54.616,8.0,screenChange,228.431,Problem Solving,252afdc3-a36a-40e3-9fed-c0532056cc33,9.0,,,,,,
2022-11-30 08:27:54.618,,,,ps,252afdc3-a36a-40e3-9fed-c0532056cc33,,,8.0,5,0,6,100010111111101110111111100010
