time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-30 08:20:35.541,0.0,screenChange,16.73,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,1.0,,,,,,
2022-11-30 08:20:41.390,1.0,screenChange,5.846,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,2.0,,,,,,
2022-11-30 08:20:47.007,2.0,screenChange,5.616,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,3.0,,,,,,
2022-11-30 08:20:50.424,3.0,screenChange,3.415,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,4.0,,,,,,
2022-11-30 08:20:54.307,4.0,screenChange,3.882,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,5.0,,,,,,
2022-11-30 08:21:01.140,5.0,screenChange,6.832,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,6.0,,,,,,
2022-11-30 08:21:05.907,6.0,screenChange,4.766,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,7.0,,,,,,
2022-11-30 08:21:13.473,7.0,screenChange,7.565,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,8.0,,,,,,
2022-11-30 08:21:25.173,8.0,screenChange,11.699,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,9.0,,,,,,
2022-11-30 08:21:34.124,9.0,screenChange,8.949,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,10.0,,,,,,
2022-11-30 08:21:54.408,10.0,screenChange,20.283,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,11.0,,,,,,
2022-11-30 08:21:56.640,11.0,screenChange,2.232,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,12.0,,,,,,
2022-11-30 08:22:02.557,12.0,screenChange,5.916,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,13.0,,,,,,
2022-11-30 08:22:09.390,13.0,screenChange,6.832,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,14.0,,,,,,
2022-11-30 08:22:14.257,14.0,screenChange,4.866,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,15.0,,,,,,
2022-11-30 08:22:17.289,15.0,screenChange,3.03,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,16.0,,,,,,
2022-11-30 08:22:20.073,16.0,screenChange,2.783,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,17.0,,,,,,
2022-11-30 08:22:25.690,17.0,screenChange,5.615,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,18.0,,,,,,
2022-11-30 08:22:31.007,18.0,screenChange,5.316,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,19.0,,,,,,
2022-11-30 08:22:33.722,19.0,screenChange,2.714,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,20.0,,,,,,
2022-11-30 08:22:41.756,20.0,screenChange,8.033,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,21.0,,,,,,
2022-11-30 08:22:44.490,21.0,screenChange,2.733,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,22.0,,,,,,
2022-11-30 08:22:48.523,22.0,screenChange,4.033,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,23.0,,,,,,
2022-11-30 08:23:00.858,23.0,screenChange,12.333,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,24.0,,,,,,
2022-11-30 08:23:06.157,24.0,screenChange,5.298,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,25.0,,,,,,
2022-11-30 08:23:10.289,25.0,screenChange,4.131,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,26.0,,,,,,
2022-11-30 08:23:11.122,26.0,screenChange,0.832,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,27.0,,,,,,
2022-11-30 08:23:15.840,27.0,screenChange,4.717,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,28.0,,,,,,
2022-11-30 08:23:16.823,28.0,screenChange,0.982,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,29.0,,,,,,
2022-11-30 08:23:22.089,29.0,screenChange,5.265,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,30.0,,,,,,
2022-11-30 08:23:23.106,30.0,screenChange,1.016,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,31.0,,,,,,
2022-11-30 08:23:25.740,31.0,screenChange,2.632,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,32.0,,,,,,
2022-11-30 08:23:26.739,32.0,screenChange,0.998,Instruction,72eba46b-62d9-428f-9b2e-b55fbe21185a,33.0,,,,,,
