time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-11-28 22:56:00.674,0.0,screenChange,,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,1.0,,,,,,
2022-11-28 22:56:05.713,1.0,screenChange,5.037,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 22:56:09.020,2.0,screenChange,3.307,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,3.0,,,,,,
2022-11-28 22:56:11.796,3.0,screenChange,2.774,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 22:56:34.907,2.0,screenChange,25.885,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,3.0,,,,,,
2022-11-28 22:56:44.377,3.0,screenChange,9.469,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,4.0,,,,,,
2022-11-28 22:56:52.923,4.0,screenChange,8.544,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,5.0,,,,,,
2022-11-28 22:56:52.925,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,4.0,5,0,6,000000000000000000000000000000
2022-11-28 22:56:55.016,5.0,screenChange,2.093,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,4.0,,,,,,
2022-11-28 22:57:24.744,4.0,screenChange,31.82,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,5.0,,,,,,
2022-11-28 22:57:24.745,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,4.0,5,0,6,011100010000011100010100011100
2022-11-28 22:59:32.613,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,tedious to write,5.0,,,,
2022-11-28 22:59:34.250,5.0,screenChange,129.506,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,6.0,,,,,,
2022-11-28 23:00:13.805,6.0,screenChange,39.554,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,7.0,,,,,,
2022-11-28 23:00:13.807,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,6.0,5,0,6,000010000010000000000010000000
2022-11-28 23:01:19.460,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,"we can not represent it in decimal digits representation, too few pixels we must be creative !",7.0,,,,
2022-11-28 23:01:20.793,7.0,screenChange,66.986,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,8.0,,,,,,
2022-11-28 23:02:49.146,8.0,screenChange,88.352,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,9.0,,,,,,
2022-11-28 23:02:49.148,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,8.0,5,0,6,100010110000110100000110000110
2022-11-28 23:03:02.868,9.0,screenChange,13.72,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,10.0,,,,,,
2022-11-28 23:03:25.646,10.0,screenChange,22.777,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,11.0,,,,,,
2022-11-28 23:03:25.647,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,10.0,1,0,9,000001111
2022-11-28 23:03:25.647,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,10.0,1,1,9,000000001
2022-11-28 23:03:25.648,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,10.0,1,2,9,011111111
2022-11-28 23:03:25.648,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,10.0,1,3,9,000000000
2022-11-28 23:03:25.648,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,10.0,1,4,9,000000111
2022-11-28 23:17:02.125,11.0,screenChange,816.479,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,12.0,,,,,,
2022-11-28 23:17:02.127,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,11.0,1,0,9,000000000
2022-11-28 23:17:02.127,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,11.0,1,0,9,000000000
2022-11-28 23:17:02.128,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,11.0,1,0,9,000000011
2022-11-28 23:17:02.128,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,11.0,1,0,9,011111111
2022-11-28 23:17:02.128,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,11.0,1,0,9,000001111
2022-11-28 23:19:53.562,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,"<script> alert(""no"") </script>",12.0,,,,
2022-11-28 23:19:56.694,12.0,screenChange,174.567,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,13.0,,,,,,
2022-11-28 23:20:00.080,13.0,screenChange,3.385,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,12.0,,,,,,
2022-11-28 23:20:07.910,12.0,screenChange,11.215,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,13.0,,,,,,
2022-11-28 23:20:16.257,13.0,screenChange,8.346,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,14.0,,,,,,
2022-11-28 23:21:29.833,14.0,screenChange,73.574,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,15.0,,,,,,
2022-11-28 23:21:29.835,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,14.0,1,0,4,1001
2022-11-28 23:21:29.836,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,14.0,1,1,4,0001
2022-11-28 23:21:29.836,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,14.0,1,2,4,0111
2022-11-28 23:21:29.837,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,14.0,1,4,4,1101
2022-11-28 23:21:29.837,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,14.0,1,3,4,0101
2022-11-28 23:22:17.095,15.0,screenChange,47.26,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,16.0,,,,,,
2022-11-28 23:22:17.096,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,15.0,1,0,4,0001
2022-11-28 23:22:17.096,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,15.0,1,1,4,1100
2022-11-28 23:22:17.097,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,15.0,1,2,4,1000
2022-11-28 23:22:17.098,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,15.0,1,3,4,0011
2022-11-28 23:22:17.098,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,,15.0,1,4,4,0101
2022-11-28 23:22:47.997,,,,ps,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,,"yes, with binary encoding it is possible",16.0,,,,
2022-11-28 23:22:49.169,16.0,screenChange,32.073,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,17.0,,,,,,
2022-11-28 23:22:54.183,17.0,screenChange,5.013,Problem Solving,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,18.0,,,,,,
2022-11-28 23:22:59.782,0.0,screenChange,5.595,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,1.0,,,,,,
2022-11-28 23:23:26.480,1.0,screenChange,26.696,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 23:23:28.507,2.0,screenChange,2.025,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,1.0,,,,,,
2022-11-28 23:23:29.894,1.0,screenChange,3.412,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 23:23:31.347,2.0,screenChange,1.452,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,1.0,,,,,,
2022-11-28 23:23:36.562,1.0,screenChange,6.667,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 23:23:38.468,2.0,screenChange,1.905,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,1.0,,,,,,
2022-11-28 23:23:39.576,1.0,screenChange,3.013,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,2.0,,,,,,
2022-11-28 23:24:19.997,2.0,screenChange,40.42,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,3.0,,,,,,
2022-11-28 23:24:23.998,3.0,screenChange,3.999,Instruction,0ba2b00a-a6d5-4463-8dd2-becbd7cde5c5,4.0,,,,,,
