time,currentactivity,cause,timespent,part,uuid,nextactivity,message,slide,height,id,width,gridString
2022-12-04 18:49:05.153,0.0,screenChange,,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,1.0,,,,,,
2022-12-04 18:49:10.826,1.0,screenChange,5.666,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,2.0,,,,,,
2022-12-04 18:49:17.025,2.0,screenChange,6.197,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,3.0,,,,,,
2022-12-04 18:49:24.217,3.0,screenChange,7.191,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,4.0,,,,,,
2022-12-04 18:50:11.182,4.0,screenChange,46.964,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,5.0,,,,,,
2022-12-04 18:50:11.185,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,4.0,5,0,6,100011000001010101000001001001
2022-12-04 18:50:39.589,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,I wrote in roman numerals like a boss.,5.0,,,,
2022-12-04 18:50:41.784,5.0,screenChange,30.6,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,6.0,,,,,,
2022-12-04 18:53:46.321,6.0,screenChange,184.536,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,7.0,,,,,,
2022-12-04 18:53:46.324,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,6.0,5,0,6,110000000000110000110000000000
2022-12-04 18:53:55.148,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,Oui,7.0,,,,
2022-12-04 18:53:56.573,7.0,screenChange,10.249,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,8.0,,,,,,
2022-12-04 18:56:35.016,8.0,screenChange,158.442,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,9.0,,,,,,
2022-12-04 18:56:35.018,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,8.0,5,0,6,100010110011110011001100001100
2022-12-04 18:56:41.294,9.0,screenChange,6.276,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,10.0,,,,,,
2022-12-04 18:56:59.416,10.0,screenChange,18.12,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,11.0,,,,,,
2022-12-04 18:56:59.418,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,10.0,1,0,9,111100000
2022-12-04 18:56:59.418,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,10.0,1,1,9,100000000
2022-12-04 18:56:59.419,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,10.0,1,3,9,000000000
2022-12-04 18:56:59.419,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,10.0,1,2,9,111111110
2022-12-04 18:56:59.420,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,10.0,1,4,9,111000000
2022-12-04 18:57:43.190,11.0,screenChange,43.772,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,12.0,,,,,,
2022-12-04 18:57:43.192,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,11.0,1,0,9,100000000
2022-12-04 18:57:43.193,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,11.0,1,0,9,111111111
2022-12-04 18:57:43.193,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,11.0,1,0,9,111110000
2022-12-04 18:57:43.193,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,11.0,1,0,9,111000000
2022-12-04 18:57:43.193,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,11.0,1,0,9,110000000
2022-12-04 18:57:54.582,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,"Yes, Bob is a smart boy",12.0,,,,
2022-12-04 18:57:58.371,12.0,screenChange,15.179,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,13.0,,,,,,
2022-12-04 18:58:02.357,13.0,screenChange,3.985,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,14.0,,,,,,
2022-12-04 19:02:47.820,14.0,screenChange,285.461,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,15.0,,,,,,
2022-12-04 19:02:47.822,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,14.0,1,0,4,0111
2022-12-04 19:02:47.822,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,14.0,1,1,4,1000
2022-12-04 19:02:47.823,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,14.0,1,4,4,0000
2022-12-04 19:02:47.823,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,14.0,1,3,4,0110
2022-12-04 19:02:47.823,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,14.0,1,2,4,0011
2022-12-04 19:03:41.182,15.0,screenChange,53.36,Problem Solving,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,16.0,,,,,,
2022-12-04 19:03:41.183,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,15.0,1,1,4,0000
2022-12-04 19:03:41.183,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,15.0,1,0,4,1000
2022-12-04 19:03:41.184,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,15.0,1,4,4,1001
2022-12-04 19:03:41.184,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,15.0,1,3,4,0010
2022-12-04 19:03:41.184,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,,15.0,1,2,4,0111
2022-12-04 19:04:26.555,,,,ps,3ed6b9b5-b311-41b4-8fbe-84a9aa519389,,"first lightbulb = 1
second lightbulb = 2
third lightbulb = 3
etc. and we sum up ",16.0,,,,
