time,currentactivity,cause,timespent,part,uuid,nextactivity,group,message,slide,height,id,width,gridString
2022-11-27 18:35:27.779,0.0,screenChange,,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,1.0,,,,,,,
2022-11-27 18:35:28.082,1.0,screenChange,0.302,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,2.0,,,,,,,
2022-11-27 18:35:30.073,2.0,screenChange,1.99,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,3.0,,,,,,,
2022-11-27 18:35:31.403,3.0,screenChange,1.33,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,4.0,,,,,,,
2022-11-27 18:35:35.631,4.0,screenChange,4.227,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,5.0,,,,,,,
2022-11-27 18:35:35.633,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,,4.0,5,0,6,100000000010001000000000000001
2022-11-27 18:35:42.807,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,Yeah i'm just testing sth calm down,5.0,,,,
2022-11-27 18:35:45.616,5.0,screenChange,9.984,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,6.0,,,,,,,
2022-11-27 18:35:47.989,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,,6.0,5,0,6,000000000010000000010000000000
2022-11-27 18:35:47.989,6.0,screenChange,2.372,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,7.0,,,,,,,
2022-11-27 18:35:52.511,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,My knee itches,7.0,,,,
2022-11-27 18:35:53.244,7.0,screenChange,5.255,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,8.0,,,,,,,
2022-11-27 18:35:55.228,8.0,screenChange,1.983,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,9.0,,,,,,,
2022-11-27 18:35:55.228,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,,8.0,5,0,6,000000100000000100000000000000
2022-11-27 18:35:56.247,9.0,screenChange,1.019,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,10.0,,,,,,,
2022-11-27 18:35:57.951,10.0,screenChange,1.703,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,11.0,,,,,,,
2022-11-27 18:35:57.953,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,,10.0,1,1,9,100000000
2022-11-27 18:35:59.462,11.0,screenChange,1.51,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,12.0,,,,,,,
2022-11-27 18:35:59.464,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,,11.0,1,0,9,000001000
2022-11-27 18:36:01.856,,,,ps,6c890410-2b93-4e90-866c-2a38db21ce00,,,Kill me,12.0,,,,
2022-11-27 18:36:02.733,12.0,screenChange,3.27,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,13.0,,,,,,,
2022-11-27 18:36:03.754,13.0,screenChange,1.021,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,14.0,,,,,,,
2022-11-27 18:36:06.220,14.0,screenChange,2.466,Problem Solving,6c890410-2b93-4e90-866c-2a38db21ce00,15.0,,,,,,,
