,part,message,slide,time,uuid
0,assessment,adf,4,1669573489004,04997195-3320-4372-ad30-6400988107c2
1,assessment,adsf,3,1669573486029,04997195-3320-4372-ad30-6400988107c2
2,ps,Ez,5,1669558720213,4a893c00-09e0-4df3-8256-745a2f5056a4
3,ps,Haha,12,1669561253981,54619c2f-fda5-4391-a12b-423070a17d15
4,ps,gcd,16,1669558477287,a5590fdc-7172-4b79-ba5a-4d4b06647330
5,ps,Ich habe eine 6 gezeichnet hihihi,5,1669560552691,c8a2dd44-54e8-4f35-be96-0ae132b568d9
6,assessment,asdf,1,1669573871330,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
7,ps,asdf,12,1669575305586,ef499754-3675-47cf-a004-ea0aa30483dd
8,ps,f,5,1669574577702,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
9,ps,a,5,1669573100245,fcadc353-301e-40e0-8dc0-ca4c4263f971
10,ps,Bonds,5,1669558857833,1f883dd0-fecd-46b9-83e0-30ae7d1427a3
11,ps,fdsnk ,7,1669558863125,1f883dd0-fecd-46b9-83e0-30ae7d1427a3
12,ps,Das,16,1669560626233,c8a2dd44-54e8-4f35-be96-0ae132b568d9
13,ps,fds,7,1669560394017,d15009a1-d04d-460c-a21d-6e825acfcf08
14,ps,asdf,13,1669575307715,ef499754-3675-47cf-a004-ea0aa30483dd
15,ps,asf,12,1669573965899,c0eff1b8-d3d6-4cb5-a10e-aee380d8796c
16,ps,ij,7,1669572799768,47d33bf7-41ee-44ea-9ae8-9279b3b74d1b
17,ps,AHhf,5,1669573454840,04997195-3320-4372-ad30-6400988107c2
18,assessment,fd,3,1669558505385,a5590fdc-7172-4b79-ba5a-4d4b06647330
19,assessment,I hate you,8,1669560168099,cbeb3138-f198-4e35-8f5f-39008795c2b1
20,ps,asfd,16,1669573866290,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
21,assessment,asdfsaf,8,1669575338878,ef499754-3675-47cf-a004-ea0aa30483dd
22,assessment,dsfkjnb,8,1669558529613,a5590fdc-7172-4b79-ba5a-4d4b06647330
23,assessment,GAh,3,1669570600165,6c890410-2b93-4e90-866c-2a38db21ce00
24,ps,asd,16,1669560284254,088ebe12-34b8-4d5f-b985-847e667a3965
25,assessment,Great experience!,8,1669558880866,4a893c00-09e0-4df3-8256-745a2f5056a4
26,ps,asf,16,1669575312683,ef499754-3675-47cf-a004-ea0aa30483dd
27,ps,D,5,1669558459575,a5590fdc-7172-4b79-ba5a-4d4b06647330
28,assessment,gcd,2,1669560446943,d15009a1-d04d-460c-a21d-6e825acfcf08
29,ps,sadf,16,1669573972095,c0eff1b8-d3d6-4cb5-a10e-aee380d8796c
30,ps,gcd,12,1669558470944,a5590fdc-7172-4b79-ba5a-4d4b06647330
31,ps,Still way too easy,16,1669558811345,4a893c00-09e0-4df3-8256-745a2f5056a4
32,assessment,asfd,6,1669574628183,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
33,ps,ads,5,1669560265916,088ebe12-34b8-4d5f-b985-847e667a3965
34,ps,fds,5,1669556450431,21783edb-dd03-4a8c-8132-740740cf7e8c
35,assessment,ass,1,1669575220615,e1449c07-56a9-43ed-936a-6cd0db5a9143
36,assessment,asdf,4,1669573878412,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
37,ps,fds,5,1669557738556,629df77d-61ee-49b7-816f-5bfe960e16fa
38,ps,Halo,5,1669561240318,54619c2f-fda5-4391-a12b-423070a17d15
39,ps,J'AIME LE ZGEG,7,1669563357382,61cec0e5-976c-4156-ba46-4cb2a83a06c7
40,assessment,No,1,1669570594537,6c890410-2b93-4e90-866c-2a38db21ce00
41,ps,A,16,1669560092844,cbeb3138-f198-4e35-8f5f-39008795c2b1
42,ps,aaaaaaaaaaaaaaaaaaaaaaaaaaa,5,1669560023590,cbeb3138-f198-4e35-8f5f-39008795c2b1
43,assessment,Translating letters to numbers with a certain code,1,1669573776379,bc0866e8-f504-4a52-91de-a681f3982f43
44,ps,fds,12,1669559850463,99a44852-552e-4198-9654-3d57eb64950b
45,ps,My knee itches,7,1669570552511,6c890410-2b93-4e90-866c-2a38db21ce00
46,ps,gcd,7,1669558320877,3ee60990-2dfd-4e6b-8890-02b673b9495e
47,ps,gcd,16,1669559003727,4a21dd68-af05-4de6-9088-f98df0b7b862
48,ps,gcd,7,1669556364702,2577070d-dc13-4074-98b4-db0bef85b2cb
49,ps,a,5,1669573028664,4f1ca3ba-e4a1-4144-89ae-c56bc855f604
50,ps,asfd,7,1669573851654,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
51,assessment,asdf,1,1669575325447,ef499754-3675-47cf-a004-ea0aa30483dd
52,ps,fds,16,1669559870011,99a44852-552e-4198-9654-3d57eb64950b
53,ps,gcd,7,1669556361418,2577070d-dc13-4074-98b4-db0bef85b2cb
54,assessment,asdf,3,1669574619087,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
55,ps,F'r,12,1669558275201,d5377ab0-9d27-4f0b-892d-ac536512bc03
56,assessment,"The base would be 3 instead of 2 :
With n lightbulbs we could write 3^n numbers instead of 2^n",4,1669573857440,bc0866e8-f504-4a52-91de-a681f3982f43
57,ps,fgdg,5,1669559070388,2c3de412-eb0a-4b5e-8be6-671345c7b622
58,assessment,11,6,1669573873708,bc0866e8-f504-4a52-91de-a681f3982f43
59,assessment,fd,2,1669559888125,99a44852-552e-4198-9654-3d57eb64950b
60,ps,f,12,1669573682834,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
61,ps,vds,7,1669559176441,95c98d80-83dd-47c0-b6f3-69f2bddf6797
62,assessment,dfsfv,3,1669559892444,99a44852-552e-4198-9654-3d57eb64950b
63,assessment,asdf,2,1669573981680,c0eff1b8-d3d6-4cb5-a10e-aee380d8796c
64,ps,sfqfs,7,1669558932309,ed2293b1-eb68-4933-ad12-e7585e1be534
65,ps,a,5,1669573166637,a8552515-0778-4ee6-85fd-4653ef2bd6a2
66,ps,Barf,7,1669573459291,04997195-3320-4372-ad30-6400988107c2
67,assessment,Amazing chico !,8,1669574030213,bc0866e8-f504-4a52-91de-a681f3982f43
68,ps,"No, still ez",7,1669558733043,4a893c00-09e0-4df3-8256-745a2f5056a4
69,ps,Diarrhea,16,1669570573214,6c890410-2b93-4e90-866c-2a38db21ce00
70,ps,Bd,7,1669558264250,d5377ab0-9d27-4f0b-892d-ac536512bc03
71,ps,DSF,12,1669563366423,61cec0e5-976c-4156-ba46-4cb2a83a06c7
72,ps,fasdf,7,1669574581878,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
73,assessment,uhu,8,1669574642589,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
74,ps,Nein,13,1669560614151,c8a2dd44-54e8-4f35-be96-0ae132b568d9
75,ps,asdf,5,1669559907039,fe1ad53f-a6d2-4c06-87d4-45737874631f
76,assessment,asdf,2,1669560115094,cbeb3138-f198-4e35-8f5f-39008795c2b1
77,ps,Sad,12,1669560610255,c8a2dd44-54e8-4f35-be96-0ae132b568d9
78,assessment,IDk,2,1669570597411,6c890410-2b93-4e90-866c-2a38db21ce00
79,assessment,asdf,2,1669573484087,04997195-3320-4372-ad30-6400988107c2
80,ps,fgds,5,1669558969038,4a21dd68-af05-4de6-9088-f98df0b7b862
81,ps,gcd,7,1669558977217,4a21dd68-af05-4de6-9088-f98df0b7b862
82,ps,zdza,12,1669559714665,d343ee00-e623-49fb-89b6-a5d0f7e8aa5d
83,assessment,fds,3,1669560449336,d15009a1-d04d-460c-a21d-6e825acfcf08
84,ps,asfd,16,1669573690310,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
85,ps,fdsf,7,1669559074932,2c3de412-eb0a-4b5e-8be6-671345c7b622
86,assessment,aasdf,2,1669575327374,ef499754-3675-47cf-a004-ea0aa30483dd
87,assessment,Fish,6,1669570609604,6c890410-2b93-4e90-866c-2a38db21ce00
88,assessment,asf,3,1669573876067,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
89,ps,af,12,1669573860169,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
90,ps,asfd,16,1669573185248,a8552515-0778-4ee6-85fd-4653ef2bd6a2
91,ps,Brasillllll,12,1669572428295,67c5bb64-7ea7-4868-9b94-3b5605664d3a
92,ps,asdf,12,1669573178739,a8552515-0778-4ee6-85fd-4653ef2bd6a2
93,assessment,covfefe,3,1669572452983,67c5bb64-7ea7-4868-9b94-3b5605664d3a
